item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112084666,ALI SALEH,Q104581386,MCU,,,2021-05-05,,,Q112084666-DC26E75B-48A9-4C02-9A31-8ED679F3FD4B
Q112084689,Achanga Bertrand Nakombo,Q112098751,MOUNI,,,2021-05-05,,,Q112084689-DEDE2551-CC7D-4F95-970F-119817E20958
Q112084719,Albert Guinimonguimi,Q23900268,URCA,,,2021-05-05,,,Q112084719-F372B054-C072-4EC6-BB3C-B1394C82C834
Q112084623,Alime Aziza Soumaine,Q104581386,MCU,,,2021-05-05,,,Q112084623-00E4CC10-FE1D-4F6C-89CC-F3AC28EE943A
Q112084714,Amédée Negba Kpingo,,,,,2021-05-05,,,Q112084714-16E718BB-6C1D-49B5-AC0C-E98ED3C20646
Q112084665,Anatole NDEMAGOUDA GBAGO,Q104581386,MCU,,,2021-05-05,,,Q112084665-50D88516-7D51-48CD-BD81-05C60263BCD2
Q112062382,André Nalké Dorogo,Q23900268,URCA,,,2021-05-05,,,Q112062382-7AB525BA-7AA0-43F7-ADF7-C907B29E7825
Q546278,Anicet Georges Dologuele,Q23900268,URCA,,,2021-05-05,,male,Q546278-DDCCE189-3D56-4CA9-A298-D5AFA5C0800E
Q112084679,Annie Molomadon Née Izoungou,,,,,2021-05-05,,,Q112084679-DCF1CAF1-8973-4007-AD3D-BB321754D2A8
Q112084682,Antoine Koirokpi,Q3326601,MLPC,,,2021-05-05,,,Q112084682-A5092410-446D-4BBF-97A4-4CEBA67498FB
Q112084626,Aristide Goundissa,Q104581386,MCU,,,2021-05-05,,,Q112084626-BD0B48E1-0C37-4714-8449-454AFAD61B4B
Q112084680,Arme Birot,,,,,2021-05-05,,,Q112084680-48F2E6B0-3417-4F31-9551-87206D968236
Q112084587,Assindaka Didace,Q327591,SÉ,,,2021-05-05,,,Q112084587-15EBE1BE-161E-4A5D-B1B5-A5788C20933B
Q112084664,Aubin AMASSEKA AMOUDOU,Q104581386,MCU,,,2021-05-05,,,Q112084664-F869FC23-0F52-47EB-83CB-6697DC50E963
Q112084722,Auguste BOUKANGA,,,,,2021-05-05,,,Q112084722-DB030FCD-83B3-4CE7-8E5F-3D6C2162C519
Q112084574,Auguste DOKOANE,Q327591,SÉ,,,2021-05-05,,,Q112084574-9A494993-E6E1-43A4-8F30-E1EBEECE30B6
Q112084615,Aurélien Simplice Kongbelet-Zingas,,,,,2021-05-05,,,Q112084615-3FED7FCC-09A2-4148-8EF6-D3FAD52C3006
Q112084662,BE-YAMISSI SANA née Kambiri SALAMATOU,Q104581386,MCU,,,2021-05-05,,,Q112084662-C389278C-8256-48C7-A214-B50D3FE153DE
Q112084577,Barthelemy Louis-Marie ZOUMARA,Q327591,SÉ,,,2021-05-05,,,Q112084577-0F85C481-F25D-4F9C-9315-294E3A7D2497
Q112084683,Bernard Dillah,Q3326601,MLPC,,,2021-05-05,,,Q112084683-DE9618CA-7A9F-44EA-AF3A-75202FEBCBE0
Q112084606,Bernard Gbissigui Anioue,Q1968085,KNK,,,2021-05-05,,,Q112084606-90EA738E-A63A-4CB6-9E9C-3C95C9FB3B92
Q112084581,Brice Kevin Kakpayen,Q327591,SÉ,,,2021-05-05,,,Q112084581-34A70652-0357-4396-965B-88532C72EEA6
Q112084616,Brice Rufin Molomadon,,,,,2021-05-05,,,Q112084616-8BA7EFF6-098B-4A62-AD27-526E947FB452
Q112084672,Chantal Merveille TOHOMANE,Q104581386,MCU,,,2021-05-05,,,Q112084672-DFA9E86D-8E07-40F6-B2BC-8109D092250E
Q112084583,Christian Limbio Tekpe,Q327591,SÉ,,,2021-05-05,,,Q112084583-AF87ACB9-5705-41B3-AAF1-5988E792BA46
