@@,name,party,item
+++,Alime Aziza Soumaine,MCU,
+++,Virginie Baïkoua,MCU,
+++,Nestor Nali Mamadou,MCU,
+++,Romain Penendji-Lami-Ya,MCU,
+++,Aristide Goundissa,MCU,
+++,Ernest Konguere,MCU,
+++,Dekalve Chengaba Rossni,MCU,
+++,Louis Albert Goni,MCU,
+++,Richard Gonguere,MCU,
+++,Marthe Lakonte-Gaomeda,MCU,
+++,Mathieu Simplice Sarandji,MCU,
+++,Firmin Ngrebada,MCU,
+++,Emilie Bernadette Gambo née Souaninzi,MCU,
+++,Virginie-Béatrice BANDÉKO,MCU,
+++,Geoffroy Noël TAGBA,MCU,
+++,Fleury Junior PABANDJI,MCU,
+++,BE-YAMISSI SANA née Kambiri SALAMATOU,MCU,
+++,Richard Steve TORANGA,MCU,
+++,Aubin AMASSEKA AMOUDOU,MCU,
+++,Anatole NDEMAGOUDA GBAGO,MCU,
+++,ALI SALEH,MCU,
+++,Christophe Arsène WAPOU,MCU,
+++,Jean de Dieu DAMARASS-DAMANGUERÉ,MCU,
+++,Justin Gourna Zako,MCU,
+++,Sédar Sall Karim,MCU,
+++,Chantal Merveille TOHOMANE,MCU,
+++,Magloire Jocelyn Makango,MCU,
+++,Jean Claude Ngonga,MCU,
+++,Henri-Matie Dondra,MCU,
+++,Fidèle PANDJIKANE,MCU,
+++,DAHIROU Mohamadou,MCU,
+++,Emmanuel MAMYA,MCU,
+++,Annie Molomadon Née Izoungou,MDD,
+++,Joseph Bendounga,MDREC,
+++,Arme Birot,MKMKS,
+++,Percus Kette,MLPC,
+++,Antoine Koirokpi,MLPC,
+++,Bernard Dillah,MLPC,
+++,Serge Alain Liguela Mboutou,MLPC,
+++,Luc Ninga,MLPC,
+++,Jean-Bosco Namtoua-Koussi Guidomon,MLPC,
+++,Martin Ziguele,MLPC,
+++,Thierry Kamach,Mouni,
+++,William Séraphin WABEM MBETÉ,MOUNI,
+++,Marien Diodonné Djema,Mouni,
+++,Achanga Bertrand Nakombo,MOUNI,
+++,Lucien Mbaîgoto,MOUNI,
+++,Thomas RABÉ,MOUNI,
+++,Henri Mylla Vigner,MOUNI,
+++,Jean Robert Gotao,P.G.D,
+++,Laurent Ngon Baba,PAD,
+++,Jonas DONON,PAD,
+++,Dieudonné Gbiatou,Patrie,
+++,Hermane Lambert Akovourou,Patrie,
+++,Eric Gervais Kpiodigui,Patrie,
+++,Timoléon MBAÏKOUA,PCDI,
+++,François Moussa Yakota,PGD,
+++,Sylvain MARANDJI,PS,
+++,Jean Thalhys Bangue,R.D.D,
+++,Vidal De Bon Coeur Siopathis,RDC,
+++,Follot Gabriel Mairie Raoul,RDC,
+++,José Titus Ngoungbo,RDC,
+++,Rodrigue Yvon Brice Sialo Ngboda,RDC,
+++,Mathurin Massikini ,RDC,
+++,Amédée Negba Kpingo,RDD,
+++,Gomina Pampali née Monganga David Bernadette,UNADER,
+++,Dorothée Tiyangou,UNDP,
+++,Anicet Georges Dologuele,URCA,
+++,Ernest Mizédio,URCA,
+++,André Nalké Dorogo,URCA,
+++,Louis Roi Nguehoroum,URCA,
+++,Albert Guinimonguimi,URCA,
+++,Ernest BONANG,URCA,
+++,Jacques TAFAGO,URCA,
+++,Auguste BOUKANGA,URD,
