constituency,name,party
1er arrondissement,Henri-Matie Dondra,MCU
7e arrondissement,Christian Limbio Tekpe,Indépendant
Mbaïki 3,Hassan Akhras,Indépendant
Mbaïki 4,Jean Claude Ngonga,MCU
Mbaïki 5,Magloire Jocelyn Makango,MCU
Grimari 1,Sédar Sall Karim,MCU
Bouca 1,Justin Gourna Zako,MCU
Mobaye 2,Heureux Maxime Ngarendo,Indépendant
Bria 1,Max Sylvain Balenda,Indépendant
Kembe,Assindaka Didace,Indépendant
Zémio,Eric Gervais Kpiodigui,Patrie
Djéma,Hermane Lambert Akovourou,Patrie
Rafai,Dieudonné Gbiatou,Patrie
Obo 1,Ernest Mizédio,URCA
Berberati 3,Thierry Kamach,Mouni
Berberati 4,André Nalké Dorogo,URCA
Nola 2,Marien Diodonné Djema,Mouni
Ndélé 2,François Moussa Yakota,PGD
Bakala,Dorothée Tiyangou,UNDP
Paoua 4,Percus Kette,MLPC
Bambouti,Bernard Gbissigui Anioue,KNK
Bayanga,Gomina Pampali née Monganga David Bernadette,UNADER
2e Arrondissement 1,Follot Gabriel Mairie Raoul,RDC
2e arrondissement 2,Mathurin Massikini ,RDC
3e arrondissement 3,Rachel Yassindali,Indépendante
4e arrondissement 1,Ephrem Dominique Yandocka,ITA
4e arrondissement 2,Louis Roi Nguehoroum,URCA
5e arrondissement 1,Louis Albert Goni,MCU
5e arrondissement 2,Ernest Konguere,MCU
5e arrondissement 3,Amédée Negba Kpingo,RDD
6e arrondissement 1,José Titus Ngoungbo,RDC
6e arrondissement 2,Dominique Kakara Guerengbo,Indépendant
8e arrondissement 1,Thierry Ndomadji Legon Ndoyo,Indépendant
8e arrondissement 2,Guy Samuel Nganatoua,Indépendant
Bamingui,Francisco Moundjouvouko,CDE
Ndele1,Alime Aziza Soumaine,MCU
Mobaye 1,Aurélien Simplice Kongbelet-Zingas,KPDS
Mobaye 3,Henri Mylla Vigner,MOUNI
Satema 1,Vidal De Bon Coeur Siopathis,RDC
Obo 2,Albert Guinimonguimi,URCA
Ouadda 1,Nabia Koundjou Abdel-Karim,MCU
M’baïki 1,Brice Kevin Kakpayen,INDÉPENDANT
M’baïki 2,Jean Thalhys Bangue,R.D.D
Mongoumba 1,Joseph Ngoïta,MCU
Berberati 1,Jean Sosthène Dengbe,INDÉPENDANT
Berberati 2,Clément Ndombe,MCU
