@@,name,position,gender,item
->,Sylvie Baïpo-Temon,"Minister of Foreign Affairs->Ministre des Affaires étrangères, de la Francophonie et des Centrafricains de l'étranger",female,Q60680031
---,Henri-Marie Dondra,Prime Minister of the Central African Republic,male,Q107273326
+++,Virginie Mbaïkoua,Ministre chargé de l'Action humanitaire et de la Solidarité,,
+++,Thierry Kamach,Ministre chargé de l'Environnement et du Développement durable,,
+++,Serge Ghislain Djorie,"Ministre chargé de la Communication et des Médias, porte-parole du Gouvernement",,
+++,Rufin Benam-Beltoungou,Ministre chargé des Mines et de la Géologie,,
+++,Pierre Somsé,Ministre chargé de la Santé et de la Population,,
+++,Nicele Nkoué,"Ministre chargé de l'Urbanisme, de la Réforme foncière, de la Ville et de l'Habitat",,
+++,Moukadas Nouré,Ministre chargé de l'Éducation nationale,,
+++,Mohamed Lawan,Ministre chargé des Petites et Moyennes entreprises et de la Promotion du secteur privé,,
+++,Michelle Mwanga,"Ministre chargé du Travail, de l'Emploi, de la Protection sociale et de la Formation professionnelle",,
+++,Michel Nicaise Nassin,Ministre de l'Intérieur et de la Sécurité publique,,
+++,Maxime Balalou,Ministre chargé du Secrétariat général du Gouvernement et des Relations avec les institutions de la République,,
+++,Marguerite Ramadan,"Ministre chargé de la Promotion du genre, de la Protection de la femme, de la Famille et de l'Enfant",,
+++,Marcel Djimassé,Ministre chargé de la Fonction publique et de la Réforme administrative,,
+++,Léa Mboua,Ministre chargé du Commerce et de l'Industrie,,
+++,Justin Gourna-Zacko,"Ministre chargé de l'Économie numérique, des Postes et Télécommunications",,
+++,Jennifer Saraiva Vanzere,"Ministre chargé des Arts, de la Culture et du Tourisme",,
+++,Jean Willybiro-Sako,"Ministre d'État chargé du désarmement, de la Démobilisation, de la Réintégration, du Rapatriement et du Suivi de l'Accord politique pour la paix et la réconciliation",,
+++,Jean Laurent Magalé,"Ministre chargé de l'Enseignement supérieur, de la Recherche scientifique et de l'Innovation technologique",,
+++,Idriss Amit,"Ministre chargé des Eaux, des Forêts, de Chasse et de la Pêche",,
+++,Hervé Ndoba,Ministre chargé des Finances et du Budget,,
+++,Hassan Bouba,Ministre chargé de l'Élevage et de la Santé animale,,
+++,Guismala-Amza,Ministre chargé de l'Équipement et des Travaux publics,,
+++,Gontran Ndjono-Ahaba,Ministre chargé des Transports et de l'Aviation civile,,
+++,Gilbert Tomou Deya,"Ministre délégué auprès du ministre d'État chargé du Désarmement, de la Démobilisation, de la Réintégration, du Rapatriement, chargé du Suivi de l'Accord politique pour la paix et la réconciliation nationale",,
+++,Félix Moloua,"Ministre d'État chargé de l'Économie, du Plan et de la Coopération",,
+++,Erie Rekosse-Kamot,Ministre chargé de l'Agriculture et du Développement rural,,
+++,Claude Rameaux Bireau,Ministre de la Défense nationale et de la Reconstruction de l'armée,,
+++,Bruno Yapandé,"Ministre chargé de l'Administration du territoire, de la Décentralisation et du Développement local",,
+++,Arthur Bertrand Piri,Ministre chargé du Développement de l'Énergie durable et des Ressources hydrauliques,,
+++,Arnaud Djoubane-Abazène,"Ministre d'État chargé de la justice, de la Promotion des droits humains et de la Bonne Gouvernance, Garde des Sceaux",,
+++,Aristide Briand Reboas,"Ministre chargé de la Promotion de la Jeunesse, des Sports et de l'Éducation civique",,
