item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q108292459,Toussaint Kongo-Doudou,Q18204366,Ministre des affaires étrangères de l’intégration africaine et de la francophonie,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q108292459-D6A6BD59-FE6A-48C5-BE87-405A2D8D2E69
Q108782689,Arnaud Djoubane Abazène,Q112063574,Ministre des transports et de l’aviation civile,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,male,Q108782689-51C44365-A194-45DF-9B10-21BBE0E89104
Q112062386,Aristide Sokambi,Q112062139,"Ministre d’État à la justice, garde des sceaux chargé de la réforme judiciaire et des Droits de l’Homme",2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112062386-26E0EF0B-1CA4-4FDB-8E7B-564FA9667CAB
Q112074289,Gaston Makouzangba,Q112062107,"Ministre du travail, de la sécurité sociale et de l’emploi",2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,male,Q112074289-59A486A5-F30C-44F9-A5DF-61D26E9FFCC0
Q112074932,David Banzoukou,Q112073768,Ministre chargé du développement du monde rural,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,male,Q112074932-5AA09146-8411-43F2-9AD3-9F542E85C24C
Q112077243,Bounandélé Koumba,Q112062144,Ministre des postes des télécommunications chargé des nouvelles technologies,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112077243-DF23E4CC-7AC1-4B63-8272-CED6AB6CFB59
Q112078187,Assane Abdallah Kadré,Q112062128,Ministre des finances et du budget,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078187-1E7005A2-2CA6-4E65-BBD1-5239EAA4652B
Q112078340,Isabelle Gaudeuille,Q112062158,Ministre des eaux forêts chasses et pêches,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,female,Q112078340-A8FCE4A6-6C6C-4EE5-BC52-A2D338920228
Q112078398,Gertrude Zouta,Q112062156,Ministre du commerce de l’industrie et des petites et moyennes entreprises,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,female,Q112078398-15181D42-5628-4DEC-90EB-4F956BD23139
Q112078401,Florence Limbio,Q112062118,Ministre de l’économie du plan et de la coopération internationale,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,female,Q112078401-A0775068-084D-4E2A-8DB2-0C7262667AFF
Q112078448,Victor Waké,Q112062110,Ministre de la Communication,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078448-F33F4796-A751-4D73-B9F1-312D7A0CACF4
Q112078454,"Romaric Vomitiadé, puis Mauricette Monthé-Psimhis",Q112062153,Ministre du tourisme des arts de la culture et de l’artisanat,2015-01-16,2015-04-09,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078454-C23EA01C-3608-4B54-9302-C539202C53F9
Q112078482,Robert Namsénéï,Q112074671,"Ministre de l’environnement, de l’écologie et du développement durable",2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078482-00BC6E91-64F1-4FF5-BF0D-8E9CEE604F7C
Q112078494,Margueritte Samba Maliavo,Q112062130,Ministre de la santé et de la population,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078494-B665CFB1-1317-4B9E-AF77-2CF787B289C9
Q112078496,Marc Mokopété,Q112066081,Ministre chargé du secrétariat du gouvernement des relations avec les institutions,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078496-9A1280FD-5A82-4351-A922-9A2C2FB6FE9A
Q112078498,Mahamat Tahïb Yakoub,Q112078499,Ministre délégué à l’élevage,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078498-E0F0504C-36EF-4B70-AC5F-DA752DB6C617
Q112078502,Joseph Agbo,Q112077097,Ministre des mines et de la géologie,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078502-C9FA45F7-6701-4AF3-A2D7-69AE1EBD345B
Q112078507,Jeannette Déthoua,Q112074270,"Ministre de la réconciliation, dialogue politique et de la promotion de la culture civique",2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078507-03AB1583-AABA-4B0D-ABFB-0C265357725D
Q112078508,Jacques Médard Mboliaédas,Q112075015,Ministre de l’énergie et de l’hydraulique,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078508-E1692B6B-1CE3-4617-97CB-2B75510FC70D
Q112078522,Eugénie Yarafa,Q112078523,Ministre affaires sociales et de l’action humanitaire,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078522-2CB75E36-ACB1-494E-8AF1-BFC7DAFC5AB6
Q112078527,Bernard Simiti,Q112062131,Ministre de l’enseignement supérieur et de la recherche scientifique,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078527-84E017DE-AF12-4934-8577-F9A3046718E3
Q112078528,Modibo Bachir Walidou,Q112062151,Ministre de l’administration du territoire de la décentralisation et régionalisation,2015-01-16,2015-07-20,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_II,2022-05-20,,Q112078528-B66F8C88-D928-41C8-9E22-3D920BD05C0A
