item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q107273326,Henri-Marie Dondra,Q16773091,Prime Minister of the Central African Republic,2021-06-15,2022-02-07,,,male,Q107273326-8B5CB1B2-E26B-48FD-8E2C-087B0666DB5A
Q108782689,Arnaud Djoubane-Abazène,Q112062139,"Ministre d'État chargé de la justice, de la Promotion des droits humains et de la Bonne Gouvernance, Garde des Sceaux",2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,male,Q108782689-9A7F1337-643F-4C5A-AC8E-5DDEDE9364F7
Q112034649,Pierre Somsé,Q112062130,Ministre chargé de la Santé et de la Population,2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,male,Q112034649-12708342-BAA2-4C03-8465-C2F70A02C1C3
Q112078171,Bruno Yapandé,Q112062151,"Ministre chargé de l'Administration du territoire, de la Décentralisation et du Développement local",2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,,Q112078171-0C83A480-8F98-4AB2-A67B-29DCDB9292E4
Q112079588,Virginie Mbaïkoua,Q112079941,Ministre chargé de l'Action humanitaire et de la Solidarité,2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,female,Q112079588-1250BD93-C8C8-4676-BDB7-58CF5CAA56DB
Q112079593,Moukadas Nouré,Q112062120,Ministre chargé de l'Éducation nationale,2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,male,Q112079593-E491A98F-2C59-4145-8554-CA16922230E5
Q112079976,Thierry Kamach,Q112079977,Ministre chargé de l'Environnement et du Développement durable,2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,male,Q112079976-64845AD2-E839-4397-B0B9-5E9BF60F2781
Q112079998,Justin Gourna-Zacko,Q112062143,"Ministre chargé de l'Économie numérique, des Postes et Télécommunications",2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,male,Q112079998-04DE1585-C2C9-442A-82D6-04FAF9CA0899
Q112080265,Maxime Balalou,Q112066081,Ministre chargé du Secrétariat général du Gouvernement et des Relations avec les institutions de la République,2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,male,Q112080265-FD6F4F87-F94A-4D4E-BE5D-A8BB08463E22
Q112080289,Guismala-Amza,Q112078719,Ministre chargé de l'Équipement et des Travaux publics,2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,male,Q112080289-C64E5848-727F-4180-A585-9C2D7C7D2280
Q112080314,Idriss Amit,Q112062158,"Ministre chargé des Eaux, des Forêts, de Chasse et de la Pêche",2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,male,Q112080314-3AA199C7-8AD1-4DCD-A425-F5892A2AB260
Q112083077,Gilbert Tomou Deya,Q112065194,"Ministre délégué auprès du ministre d'État chargé du Désarmement, de la Démobilisation, de la Réintégration, du Rapatriement, chargé du Suivi de l'Accord politique pour la paix et la réconciliation nationale",2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,,Q112083077-D399AF73-E32C-4A9D-A050-25B483FC33F8
Q112083080,Erie Rekosse-Kamot,Q112072739,Ministre chargé de l'Agriculture et du Développement rural,2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,,Q112083080-0EF13E90-D29B-4FC7-9E5C-A4AD766163C9
Q112083081,Claude Rameaux Bireau,Q112062115,Ministre de la Défense nationale et de la Reconstruction de l'armée,2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,,Q112083081-284EF9F2-78D3-48B3-BFCA-534FA050EE8C
Q112083084,Arthur Bertrand Piri,Q112075015,Ministre chargé du Développement de l'Énergie durable et des Ressources hydrauliques,2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,,Q112083084-9867C676-85FA-4936-9F74-7DEAE413F52D
Q112083089,Aristide Briand Reboas,Q112062160,"Ministre chargé de la Promotion de la Jeunesse, des Sports et de l'Éducation civique",2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,,Q112083089-18D013F2-7D08-46B1-A957-BC917FB6FA13
Q112083098,Serge Ghislain Djorie,Q112062110,"Ministre chargé de la Communication et des Médias, porte-parole du Gouvernement",2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,,Q112083098-03B2465E-F8A4-426A-97D0-11D93AE04D22
Q112083100,Rufin Benam-Beltoungou,Q112062121,Ministre chargé des Mines et de la Géologie,2021-06-24,2022-02-07,https://fr.wikipedia.org/wiki/Gouvernement_Dondra,2022-05-21,,Q112083100-B2AAC1AE-30E8-4D13-AABD-7A5838A77263
