item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q108292459,Toussaint Kongo-Doudou,Q18204366,Minister of Foreign Affairs,2014,2015,,,,Q108292459-CADD5A7A-B797-47CC-8BF3-B4C7D2F43DF4
Q15652682,André Nzapayeké,Q16773091,Prime Minister of the Central African Republic,2014-01-25,2014-08-10,,,male,Q15652682-D769911E-1EC6-4F73-91AC-5DD80CC3797B
Q17497078,Mahamat Kamoun,Q16773091,Prime Minister of the Central African Republic,2014-08-10,2016-04-02,,,male,Q17497078-90b435f2-4632-4baa-6a83-4e4d48c6b4db
Q27898988,Léonie Banga-Bothy,Q18204366,Minister of Foreign Affairs,2013-06,2016-04,,,female,Q27898988-C56B7DD5-13C2-4E4C-9924-C0ABFDE2F1C2
