item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q107273326,Henri Marie Dondra,Q112062128,Ministre des Finances et du Budget,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q107273326-4159850F-3AE3-4D96-AE34-CC8F6D752673
Q107369201,Ange Maxime Kazagui,Q112062110,Ministre de la Communication et des Médias,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q107369201-D158A5F4-015C-48DE-848B-FBAF32DB703F
Q112034649,Pierre Somse,Q112062130,Ministre de la Santé et de la Population,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q112034649-16DFBB4E-C2DD-404B-810E-20AB4D6D0AB3
Q112074691,Yérima Youssoufa Mandjo,Q112062141,Ministre de I’Elevage et de la Santé Animale,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q112074691-4357DD44-FE61-43DF-A88C-F7644DDD7B9D
Q112075034,Théodore Jousso,Q112063574,Ministre des Transports et de l’Aviation Civile,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q112075034-B3B655B1-1693-43E7-ABD6-D0AAB78201C9
Q112078108,Gontran Djono Ahaba,Q112075015,Ministre du Développement de l’Energie et des Ressources Hydrauliques,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,,Q112078108-470C394C-8AFB-4F14-8227-0DEAC092B81E
Q112079588,Virginie Mbaïkoua,Q112079941,Ministre de l’Action Humanitaire et de la Réconciliation Nationale,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,female,Q112079588-2367E7E7-9299-4236-8C57-B91FD4977675
Q112079593,Moukadas Noure,Q112062120,"Ministre de I’Enseignement Primaire, Secondaire, Technique et de I’Alphabétisation",2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q112079593-724CF065-09D1-4A41-A388-DB437AE7D12E
Q112079595,Léopold Mboli Fatrane,Q112062121,Ministre des Mines et de la Géologie,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q112079595-7F2F59E4-5288-46FE-8BDB-040CB2991A34
Q112079601,Jean-Christophe Nguinza,Q112080013,"Ministre du Travail, de I’Emploi et de la Protection Sociale",2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q112079601-A0CB786E-692A-4288-A676-AD95A713384A
Q112079604,Honoré Feizoure,Q112072739,Ministre de I’Agriculture et du Développement Rural,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q112079604-B439085F-765D-4714-AFA2-9201019268B7
Q112079611,Gaby Francky Leffa,Q112062132,"Ministre de l’Urbanisme, de la Ville et de I’Habitat",2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,,Q112079611-A65A8BB0-8F51-4F1E-B599-A9E6766DD3FA
Q112079616,Flavien Mbata,Q112062139,"Ministre de la Justice, des Droits de l’Homme, Garde des Sceaux",2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q112079616-48A4AEAD-FD24-4C77-AF91-D7AD32A2962E
Q112079648,Côme Assane,Q112062133,Ministre du Commerce et de l’Industrie,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,,Q112079648-1A86E075-9B79-466C-9623-B30B7CF17F4A
Q112079695,Bertrand Touaboy,Q112079696,"Ministre des Petites et Moyennes Entreprises, de I’Artisanat et du Secteur informel",2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,,Q112079695-3847B8F9-B5F5-4882-A02C-6007346692C8
Q112079976,Thierry Kamach,Q112079977,Ministre de l’Environnement et du Développement Durable,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q112079976-0A69E33E-9953-42B5-943E-8E6E4AABF803
Q112079980,Silvère Simplice Ngarso,Q112062160,Ministre de la Promotion de la Jeunesse et des Sports,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,,Q112079980-C0E85AFA-7DEF-411D-B1F6-E438C25AFC17
Q112079983,Nabia Haroune,Q112079984,Ministre de la Modernisation de l’Administration et de l’innovation du Service Public,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,,Q112079983-06514DE3-FD42-49FE-950F-A77471E1F58B
Q112079996,Lambert Moukove-Lissane,Q112062158,"Ministre des Eaux, Forêts, Chasse et Pêche",2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,,Q112079996-D2ADF2C2-89BA-4CDE-934F-6DF044DF7EC3
Q112079998,Justin Gourna-Zacko,Q112062143,Ministre des Postes et Télécommunication,2017-09-12,2019-02-22,https://fr.wikipedia.org/wiki/Gouvernement_Sarandji_II,2022-05-20,male,Q112079998-4F0FD201-2585-46D4-A7DF-43219B861E9A
