area,name,partyLabel
M’Baïki 1,KOBA Stève Mac Kelly,
M’Baïki 2,YEKATOM Romboht Alfred,
M’Baïki 5,MAKANGO Magloire Jocelyn,
Berberati 2,NDOMBET Clément,
Carnot 2,ALOUROU Laurent,(URCA)
Bangassou 2,NZOUNGOU Samuel,
Gambo,KPINGO Michel,(PATRIE)
MBRES,FRANCK Pierre Marie Aine,(KNK)
ABBA,ISSA Marc,(UNDP)
BABOUA 2,NINGA Luc,(MLPC)
BOUAR 4,DONON Jonas,(UNDP)
BIMBO 2,MAPENZI Jean Symphorien,
BEGOA,BEA Nadia,(KNK)
BOGANGOLO,ZAKARIA TARAZONGHA Claudia Stella,(UNDP)
DAMARA,TOUADERA Faustin Archange,
BAKALA,TIYANGOU Dorothée,(UNDP)
GRIMARI,SALL Karim Sedar,
KOUANGO 2,MARANDJI Sylvain,(PS)
BATANGAFO 1,NINGA-WONG-MALLO NEE M’BAÏKANDJI Rachel,(KNK)
BOSSANGOA 3,GAMBO NEE SOUANINZI Bernadette,
BOSSANGOA 4,NAMPESSA Aristide Symphorien,
BOUCA 1,GOURNA ZACKO Justin,(CRPS)
BOUCA 2,WEÏDANE Teddy Arnold,
MARKOUNDA,EPAYE Emilie Beatrice,
NANA-BAKASSA 2,KEMA Florent,
NANGA-BOGUILA,SARAGBA Franck-Urbain,
BAMINGUI,MANDABA Jean-Michel,(PGD)
NDELE 2,MOUSSA YAKATA François,(PGD)
1er arr,AGOU Augustin,
2ème arr (2ème circon.),MASSIKINI Mathurin,(RDC)
3ème arr (2ème Circon.),MEKASSOUA Abdou Karim,
7ème arr,NDOTIZO Clément David,
SATEMA,NGBONDO René Constant,(RDC)
BAMBOUTI,GBISSIGUI ANIOUE Jean Bernard,
DJEMAH,AKOVOULOU Lambert,
OBO 2,GUINIMANGUIMI Albert,(URCA)
BODA,BONDJO Maxime,
BOGANDA,MIABE-MAI DEKONGO Petros Michael,
BOCARANGA 3,ZIGUELE Martin,(MLPC)
BOZOUM 2,ZAWA Ambroise,(MDD)
NGAOUNDAYE 1,DILLAH Bernard,(MLPC)
BAMBIO,GOUNDISSA Aristide,(RPR)
BAYANGA,GOMINA-PAMPALI David Bernadette,(UNADER)
NOLA 3,POGOLA Eric,(URCA)
BIRAO 1,GOUMBA Valentin,
BIRAO 2,CHENGABA Rossni Dekalve,
2ème ARRT. (1ère cir.),SONNY BAYONE Kool,
3ème Arrt. (1er Cir.),KOUE Anatole,(RDC)
4ème Arrt. (1ère Cir.),KO-YAPENDE François Apollinaire,
4ème Arrt. (2ème Cir.),YANGANA YAHÔTE Augustin,(UNDP)
5ème Arrt. (1ère Cir.),KENAM ARADONA José Martial,
5ème Arrt. (2ème Cir.),MAÏDOU Blaise,(RDC)
6ème Arrt. (1ère Cir.),TO-SAH-BE-NZA Augustin,(RDC)
6ème Arrt. (2ème Cir.),MODEMADE Dénis,
8ème Arrt. (1ère Cir.),NDOYO NEE WOBENDON Yvonne,
8ème Arrt. (2ème Cir.),YONGORO Vital Léopold,(URCA)
ALINDAO 1,GODENAHA Etienne-Nathan,(RDC)
ALINDAO 2,GOUMOUNDJOU Edouard,(PARC)
KEMBE,YAGO Ghislain Gaël,(UNDP)
MINGALA,RYERIKO TCHINA Gabriel,(PARC)
MOBAYE 1,KONGBELET ZINGAS Aurélien Simplice,(PDSK)
MOBAYE 2,NGARENDO Heureux Maxime,
MOBAYE 3,VIGNER Henri Mylla,(URCA)
ZANGBA,GOKIIRI NDORO 2 Jérémie,(RDC)
OBO 1,MIZEDIO Ernest,(URCA)
ZEMIO,DALOUWAMBOLI Martin,(RPR)
BRIA 1,KONGBO Arsène,
BRIA 2,GONDY NDENGUERE Claude Andoche,(UNDP)
OUADDA,ABAKAR Mahamat,
YALINGA,GONGUERE Richard,(PARC)
DEKOA,SANZE Gina Michelle,(PATRIE)
DJOUKOU,KOMIA SAMBIA Jean-Claude,
MALA,MARA Jean-Pierre,
BOGANAGONE,SAÏTOUA BE MANGOE Robertson,
M’BAÏKI 3,FONGAN Silas,
M’BAÏKI 4,Raphaël,(MLPC)
MONGOUMBA,VACKAT Thierry Georges,
AMADA-GAZA,NDJAMBALA André,(URCA)
BERBERATI 1,ANDIBA Daguerre,
BERBERATI 3,POHOUROUNDJI Mahamat,
BERBERATI 4,NALKE DORGO André,(URCA)
CARNOT 1,NGUIA Justin,
CARNOT 3,GOUVELI Joseph Désiré,(PGD)
DEDE-MOKOUBA,MBESSA Apollinaire,
GADZI 1,MAYELA Prosper Dieudonné,
GADZI 2,BOUNGUEZE Martin,
GAMBOULA,ANGORO Martin,(MLPC)
SOSSO-NAKOMBO,DIMBELET NAKOE Mathurin,(KNK)
BAKOUMA,MBOLIFOUEFELE Gabin Dieudonné,(RDC)
OUANGO 1,YAKAMBE Alphonse,(PATRIE)
OUANGO 2,BINDALA KUNDRO Anselme,(RDC)
RAFAÏ,ZANGABEROU Benjamin,(UNDP)
KAGA-BANDORO 1,GALLO Christ Eric,(UNDP)
KAGA-BANDORO 3,DEGOU SOBEAT Joël,(CRPS)
BABOUA 1,NGON-BABA Laurent,(PAD)
BAORO,SAMALET Anicet,(URCA)
BOUAR 1,YARISSON DOYARI Albert,
BOUAR 2,MBOZE Abel,(URCA)
BOUAR 3,YALAKANGA Georges,(UNDP)
BIMBO 3,GONI Sylvain,(MNS)
BIMBO 5,MOLOMADON NEE IZOUNGOU Annie,(MDD)
BOALI,BEA Bertin,(KNK)
BOSSEMBELE,TEZAWA-SERVICE Jean-Paul Bervy,
YALOKE 1,NDOGUIA Séverin,(KNK)
YALOKE 2,BENGBA Timothée,
BAMBARI 1,NZAPAHA Fernand Delmas,(PATRIE)
BAMBARI 2,AMASSEKA Amadou Aubin,(RPR)
BAMBARI 3,NDEMAGOUDA GBAGOT Anatole,(RDC)
BAMBARI 4,YERIMA Ayouba Maloum,
KOUANGO 1,YAMA Davy Victorien,(PUN)
BATANGAFO 2,DELORO Marc,
BOSSANGOA 1,BANABONA ONOUGUELE Barthélémy,
BOSSANGOA 2,MOIDAMSE Joël,(KNK)
KABO 1,NOBONA Clément,(MLPC)
KABO 2,NDOLINGAR Hugues-Abdias,
NANA-BAKASSA 1,BANGUE BETAGAÏ Rolland Achille,
BOCARANGA 1,DOLOGUELE Anicet Georges,(URCA)
BOCARANGA 2,BENINGA DE NGAKOUTOU Gervil Jean,
BOSSEPTELE,NGAÏNA Jacques,(UNDP)
BOZOUM 1,SEREKOISSE Corneille,(UNDP)
NGAOUNDAYE 2,KOIROKPI Antoine,(MLPC)
NGAOUNDAYE 3,PERAH Jean Claude,(URCA)
PAOUA 1,MBAÏGOTO Lucien,
PAOUA 2,MBAÏKOUA Timoléon,
PAOUA 3,KABRAL YANGASSENGUE Fidèle,(URCA)
PAOUA 4,KETTE Percus,(MLPC)
PAOUA 5,MAMIA Emmanuel,(MLPC)
NOLA 1,NDOUKOU Jean Marc,
NOLA 2,MPEDJANDJO Stefanel Valère,
OUNDA-DJALLE,HAROUN CHEF Marcel,
