item,name,positionItem,position,startDate,endDate,source,sourceDate,psid
Q1065479,Charles Massi,Q112062159,"Ministre d’État à l’Équipement, aux Transports, à l'Aviation Civile",2005-06-19,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_I,2022-05-19,Q1065479-675A5EA9-BE8B-4FE2-858C-A8F9DF2B4E2F
Q108292458,lieutenant-colonel Parfait-Anicet M'bay,Q112072739,Ministre de l'Agriculture et du développement rural,2005-06-19,2006-01-31,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_I,2022-05-19,Q108292458-DBAD1435-6BE1-453F-9C78-F2E2CC65E75C
Q112062384,Mme Anne-Marie N'gouyombo,Q112062153,Ministre du Tourisme et de l'Artisanat,2005-06-19,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_I,2022-05-19,Q112062384-7463FFAA-5168-489C-BD90-8FE4E0333774
Q112062387,Bernard Gonda,Q112062149,"Ministre de la Reconstruction des édifices publics, de l'Urbanisme et du Logement",2005-06-19,2006-01-31,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_I,2022-05-19,Q112062387-BFFBF07E-F7E0-4511-8810-F096C4CE660C
Q112062406,Jacques Boti,Q112062107,"Ministre de la Fonction publique, du Travail, de la Sécurité sociale, de l’insertion professionnelle et de jeunes",2003-03-31,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_II,2022-05-19,Q112062406-D2CDCD9B-EBED-4BE1-9375-E90005F28C92
Q112062411,Jean-Eudes Téya,Q112062158,"Ministre d’État aux Eaux, Forêts, Chasses et Pêche, chargé de l'Environnement",2005-06-19,2006-09-02,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_I,2022-05-19,Q112062411-98305419-2A3E-44D0-97EE-7D5867C43590
Q112062412,Job Izima,Q112062109,"Ministre de la Communication, de la Réconciliation nationale, de la Culture démocratique et de la Promotion des droits de l'homme",2005-06-19,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_I,2022-05-19,Q112062412-E44B113D-761E-439A-9BDB-44E8BF2D3AE0
Q112062417,Léa Doumta,Q112072859,Ministre de la Santé publique,2005-06-19,2006-01-31,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_I,2022-05-19,Q112062417-2F3C6952-0DD4-4995-8385-22DDC1D255D0
Q112062425,lieutenant-colonel Michel Sallé,Q112062134,Ministre de l'Intérieur et de la Sécurité publique,2005-06-19,2006-01-31,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_I,2022-05-19,Q112062425-29705FD6-FE71-4D1C-861B-F25A81119D26
Q112062431,Paul Otto,Q112062139,Ministre de la Justice,2005-06-19,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_I,2022-05-19,Q112062431-A4C8B91A-91A1-4CFA-97B7-590EC5BC6909
Q112062438,Sylvain Maliko,Q112062119,"Ministre de l'Économie, du Plan et de la Coopération Internationale",2005-06-19,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_III,2022-05-19,Q112062438-616C143D-7C12-4DE8-A0E1-2EC000B26D5E
Q112062439,Commandant Sylvain N'doutingaï,Q112062121,Ministre des Mines et de l'Énergie et de l’Hydraulique,2003-03-31,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_II,2022-05-19,Q112062439-0266F264-912B-4DD5-8FD4-076BD0BB49F9
