name,gender,position
Mathieu-Simplice Sarandji,,Premier ministre
Félix Moloua,,"Ministre de l’économie, du plan et de la Coopération"
Joseph Yakété,,Ministre de la Défense Nationale
Henri Marie Dondra,,Ministre des finances et du Budget
Jean-Serge Bokassa,,"Ministre de l’Intérieur, de la sécurité publique et de l’administration du Territoire"
Charles Armel Doubane,,"Ministre des Affaires étrangères, de l’intégration africaine et des Centrafricains de étrangers"
Flavien Mbata,,"Ministre de la Justice, des droits de l’homme, garde des sceaux"
Léopold Mboli Fatrane,,"Ministre des mines, de l’énergie et de l’hydraulique"
Arlette Sombo Dibele,,"Ministre de l’environnement, du développement durable, des eaux et forêts chasses et pêches"
Moukadas Noure,,"Ministre de l’éducation nationale, de l’enseignement supérieur et de la recherche scientifique"
Fernande Ndjengbot,,"Ministre de la santé, de l’hygiène publique et de la population"
Honoré Feizoure,,Ministre de l’agriculture et du développement rural
Yerima Youssoufa Mandjo,,Ministre de l’élevage et de la santé animale
Abdoulaye Moussa,,"Mimistre de la fonction publique, de la modernisation de l’administration du travail, de l’emploi et de la protection sociale"
Théodore Jousso,,"Ministre de l’équipement, des transports, de l’aviation et du désenclavement"
Sylvère Ngarso,,"Ministre de la promotion de la jeunesse, du développement des sports et du service civique"
Justin Gourna Nzacko,,"Ministre des postes et télécommunications, chargé de la promotion des nouvelles technologies d’information et de communication"
Virginie Mbaïkoua,,Ministre des affaires sociales et de la réconciliation nationale
Gaby Francky Leffa,,"Ministre de l’habitat, du logement social et de l’urbanisme"
Gisèle Pana,,"Ministre des arts, du tourisme , de la culture et de la francophonie"
Côme Hassane,,Ministre des commerces et de l’industrie
Charles Paul Lemasset Mandya,,Ministre de la communication et de l’information
Bertrand Touaboy,,"Ministre de l’entrepreunariat national, de l’artisanat et de la promotion des petites et moyennes entreprises"
Jean Christophe Nguinza,,"Ministre du secrétariat général du gouvernement, chargé des relations avec les institutions de la république et du suivi-évaluation des politiques publiques"
