item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q1065479,Charles Massi,Q112062159,"Minister of Works, Civil Aviation and Transport",2005-06-19,2013-03-24,,,male,Q1065479-675A5EA9-BE8B-4FE2-858C-A8F9DF2B4E2F
Q108292458,Anicet Parfait Mbaye,Q18204366,"2e Vice Premier Ministre, Ministre des affaires étrangères, de l’intégration africaine, de la francophonie et des Centrafricains de l’Etranger",2013-02-03,2013-03-31,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_I,2022-05-20,male,Q108292458-9171981D-DCBB-4EB2-9E43-B833C73EF7BC
Q112062384,Anne-Marie N'gouyombo,Q112062153,Minister of Tourism and Craft Industry Development,2005-06-19,2013-03-24,,,female,Q112062384-7463FFAA-5168-489C-BD90-8FE4E0333774
Q112062406,Jacques Voti,Q112062107,"Minister of Civil Service, Labour and Social Security",2003-03-31,2013-03-24,,,,Q112062406-D2CDCD9B-EBED-4BE1-9375-E90005F28C92
Q112062412,Job Izima,Q112062109,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights",2005-06-19,2013-03-24,,,,Q112062412-E44B113D-761E-439A-9BDB-44E8BF2D3AE0
Q112062422,Maurice Yondo,Q112066081,Ministre chargé du secrétariat général du Gouvernement et des relations avec les institutions,2013-02-03,2013-03-31,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_I,2022-05-20,,Q112062422-F752EE55-58AD-45A2-AD27-22E4D0164E23
Q112062431,Paul Otto,Q112062139,Minister of Justice,2005-06-19,2013-03-24,,,,Q112062431-A4C8B91A-91A1-4CFA-97B7-590EC5BC6909
Q112062438,Sylvain Maliko,Q112062118,"Minister of Economy, Planning and International Cooperation",2005-06-19,2013-03-24,,,male,Q112062438-616C143D-7C12-4DE8-A0E1-2EC000B26D5E
Q112062439,Sylvain Mbutingaye,Q112062121,Minister of Energy and Mines,2003-03-31,2013-03-24,,,,Q112062439-0266F264-912B-4DD5-8FD4-076BD0BB49F9
Q112062441,Théodore Dabanga,Q112062128,Minister of Finance,2005-06-19,2013-03-24,,,,Q112062441-14E8F11F-A500-4315-887E-0D4ACF9DD297
Q112065514,André Ringui Le Gaillard,Q112062154,"Ministre de l’urbanisme, du cadastre et de la reforme foncière",2013-02-03,2013-03-31,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_I,2022-05-20,,Q112065514-E02EE384-0E8E-4558-A98D-353F0D4379B4
Q112066080,Marcel Loudégué,Q112062142,"Ministre de l’Education nationale, de l’enseignement supérieur et de la recherche scientifique",2013-02-03,2013-03-31,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_I,2022-05-20,,Q112066080-FDA0CEE1-AD37-4CC3-A892-21A1F89E2F19
Q112074641,Djibril Sall,Q112065515,"Ministre délégué à l’Education nationale, chargé de l’Enseignement fondamental et professionnel",2013-02-03,2013-03-31,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_I,2022-05-20,male,Q112074641-B7987498-FE95-4802-8B59-9CEEB79891E5
Q112074956,Dorothée Aimée Malenzapa,Q112073768,Ministre du développement rural,2013-02-03,2013-03-31,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_I,2022-05-20,female,Q112074956-F85E4211-18AF-47E1-A82B-B272EBA48A1A
Q112075034,Théodore Jousso,Q112063574,Ministre des transports et de l’aviation civile,2013-02-03,2013-03-31,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_I,2022-05-20,male,Q112075034-7F7D9BEC-575A-49F5-BA5C-0D6F818E58B6
Q112077044,Abakar Sabone,Q112062153,Ministre du développement du tourisme et de l’artisanat,2013-02-03,2013-03-31,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_I,2022-05-20,,Q112077044-D5147EF3-F11B-48F5-8E6E-B98A4457B553
Q112077045,Amalas Amias Haroun,Q112062133,Ministre du commerce et de l’industrie,2013-02-03,2013-03-31,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_I,2022-05-20,,Q112077045-95698246-E351-4909-9A94-77E8A193FAAE
