name,position
Marcel Météfara,Ministre des Affaires étrangères et Francophonie
Jean-Jacques Démafouth,Ministre de la Défense
Denis Wangao Kizimale,Ministre de la Justice
Maurice Regonessa,Ministre de l’Intérieur
Éloi Anguimate,Ministre de l’Éducation nationale
Timoléon Mbaikoua,Ministre de l’Enseignement supérieur et Recherche scientifique
Jean-Baptiste Koyassambia,"Ministre du Commerce, de l’Industrie et de la promotion du secteur privé"
André Latou,Ministre des Mines et Énergie
Daniel Emery Dede,Ministre de l’Agriculture et de l’élevage
Désiré Pendemon,Ministre des Transports et Aviation civile
Godeffroy Mokamanede,Ministre de la Fonction publique et Emploi
Rachel Dea Nambona,"Ministre des Affaires sociales, Promotion de la famille et des personnes handicapées"
Jean Bruno Vickos,Ministre de la Poste et des Télécommunications
Bernard Yoro,Ministre de la Jeunesse et des Sports
Francis Albert Ouakanga,Ministre de la Communication
Jean-Baptiste Nouganga,"Ministre de l’Environnement, des Eaux, Forêts, Chasse, Pêche"
Nathalie Constance Gounebana,Ministre du Tourisme
Aristide Sokambi,"Ministre de l’Équipement, de l’Aménagement du territoire et Urbanisme"
Armand Sama,"Ministre des Logements, Édifices publics"
Richard Lakoue,Ministre de la Santé publique et de la Population
Agba Otikpo Mézodé,"Ministre de la Promotion de la Culture civique, chargé des relations avec le Parlement"
Michel Gbézéra-Bria,Ministre des Affaires présidentielles
Bello Mamadou,Ministre délégué chargé des relations avec le monde arabe
Théodore Dabanga,Ministre délégué aux Finances
"",Ministre délégué à l'Économie
