@@,name,position,gender,item
---,Samuel Rangba,Minister of Foreign Affairs,male,Q99352338
---,Mauricette Joséphine Monthé,Minister of Tourism and Craft Industry Development,,Q112078682
---,Léonie Banga-Bothy,Minister of Foreign Affairs,female,Q27898988
