item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q108292459,Toussaint Kongo-Doudou,Q18204366,Ministre des affaires étrangères de l’intégration africaine et de la francophonie,2014,2015,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_I,2022-05-20,,Q108292459-CADD5A7A-B797-47CC-8BF3-B4C7D2F43DF4
Q108782689,Arnaud Djoubane Abazene,Q112063574,Ministre des transports et de l’aviation civile,2014-08-22,2015-01-16,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_I,2022-05-20,male,Q108782689-F35BFF60-E0B0-4681-B2FC-699A2CB20C84
Q112062386,Aristide Sokambi,Q112062115,"Ministre d’État chargé de la défense nationale, de la restructuration des armées, des anciens combattants et victimes de guerre",2014-08-22,2015-01-16,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_I,2022-05-20,,Q112062386-854A30F0-DB3E-4460-8B65-F0037E85B574
Q112074289,Gaston Mackouzangba,Q112062107,"Ministre du travail, de la Sécurité sociale et de l’emploi",2014-08-22,2015-01-16,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_I,2022-05-20,male,Q112074289-C4764966-BE57-49A5-A1AA-2A1D8D33B51E
Q112074932,David Banzoukou,Q112073768,Ministre chargé du développement du monde rural,2014-08-22,2015-01-16,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_I,2022-05-20,male,Q112074932-5E976401-4695-4ADE-96EC-73F6FA4058C6
Q112078187,Assane Abdallah Kadré,Q112062144,Ministre des postes des télécommunications chargé des nouvelles technologies,2014-08-22,2015-01-16,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_I,2022-05-20,male,Q112078187-E41957EE-3665-4F87-AEF2-C4BE0F6C6440
Q112078340,Isabelle Gaudeuille,Q112062158,"Ministre des eaux, forêts, chasses et pêches",2014-08-22,2015-01-16,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_I,2022-05-20,female,Q112078340-B4697CF3-BEFA-48C5-B7C1-DF2D01E8559F
Q112078398,Gertrude Zouta,Q112062156,"Ministre du commerce, de l’industrie et des petites et moyennes entreprises",2014-08-22,2015-01-16,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_I,2022-05-20,female,Q112078398-F2E0C5E9-423F-4FFA-A535-70462EFC62B9
Q112078401,Florence Limbio,Q112062118,Ministre de l’économie du plan et de la coopération internationale,2014-08-22,2015-01-16,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_I,2022-05-20,female,Q112078401-4DAA326F-4553-4967-8A59-4733C185FF99
Q112078448,Victor Waké,Q112062110,Ministre de la Communication,2014-08-22,2015-01-16,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_I,2022-05-20,,Q112078448-4E257DC0-73B6-4727-B8EB-A4A29F7EE52C
