@@,item,itemlabel,began,ended
->,Q18414242,Ziguélé II,2001-08-30,2003-01-15->2003-01-16
->,Q18414241,Ziguélé I,2001-04-06->2001-04-05,2001-08-30
->,Q18086093,Gaombalet I,2003-12-15->2003-12-12,2004-09-02
