item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q17497078,Mahamat Kamoun,Q16773091,Prime Minister of the Central African Republic,2014-08-10,2016-04-02,,,male,Q17497078-90b435f2-4632-4baa-6a83-4e4d48c6b4db
Q23729455,Simplice Sarandji,Q16773091,Prime Minister of the Central African Republic,2016-04-02,2019-02-22,,,male,Q23729455-386a61ed-423b-1d6d-634f-92765b208735
Q27898988,Léonie Banga-Bothy,Q18204366,Minister of Foreign Affairs,2013-06,2016-04,,,female,Q27898988-C56B7DD5-13C2-4E4C-9924-C0ABFDE2F1C2
Q99352338,Samuel Rangba,Q18204366,Minister of Foreign Affairs,2015,2016-04-11,,,male,Q99352338-7094488a-4251-828b-2dfb-ef2181487738
