@@,item,itemlabel,startdate,enddate
+++,Q3102552,Georges Darlan,1947,1952
+++,Q22212092,Henri Mabille,1952,1957
+++,Q3129275,Hector Rivierez,1957-06-13,1959-04
->,Q21091462,Michel Adama Tamboux->Michel Adama-Tamboux,1960-05-09,1966-01-01
+++,Q24951102,Michel Docko,1989-05-29,1992-11-01
+++,,Gaspard Sokambi,1991,1993
+++,,Hugues Dobozendi,1993-11-03,1998-12-31
+++,,Luc-Appolinaire Dondon-Konambaye,1999-01-01,2003-03-15
+++,Q3277446,Nicolas Tiangaye,2003-05-29,2005-06-14
+++,Q1150346,Célestin Leroy Gaombalet,2005-06-14,2013-03-26
+++,Q15618369,Alexandre-Ferdinand N'Guendet,2013-07-18,2016-05-06
+++,Q21965872,Abdoul Karim Meckassoua,2016-05-06,2018-10-30
+++,Q58216808,Laurent Ngon Baba,2018-10-30,2021-05-05
