item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q1065479,Charles Massi,Q112062159,"Minister of Works, Civil Aviation and Transport",2005-06-19,2013-03-24,,,male,Q1065479-675A5EA9-BE8B-4FE2-858C-A8F9DF2B4E2F
Q112062384,Anne-Marie N'gouyombo,Q112062153,Minister of Tourism and Craft Industry Development,2005-06-19,2013-03-24,,,female,Q112062384-7463FFAA-5168-489C-BD90-8FE4E0333774
Q112062406,Jacques Voti,Q112062107,"Minister of Civil Service, Labour and Social Security",2003-03-31,2013-03-24,,,,Q112062406-D2CDCD9B-EBED-4BE1-9375-E90005F28C92
Q112062412,Job Izima,Q112062109,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights",2005-06-19,2013-03-24,,,,Q112062412-E44B113D-761E-439A-9BDB-44E8BF2D3AE0
Q112062431,Paul Otto,Q112062139,Minister of Justice,2005-06-19,2013-03-24,,,,Q112062431-A4C8B91A-91A1-4CFA-97B7-590EC5BC6909
Q112062438,Sylvain Maliko,Q112062119,"Minister of Economy, Planning and International Cooperation",2005-06-19,2013-03-24,,,male,Q112062438-616C143D-7C12-4DE8-A0E1-2EC000B26D5E
Q112062439,Sylvain Mbutingaye,Q112062121,Minister of Energy and Mines,2003-03-31,2013-03-24,,,,Q112062439-0266F264-912B-4DD5-8FD4-076BD0BB49F9
Q112062441,Théodore Dabanga,Q112062128,Minister of Finance,2005-06-19,2013-03-24,,,,Q112062441-14E8F11F-A500-4315-887E-0D4ACF9DD297
Q15713200,Desire Kolingba,Q112062160,Minister of Youth and Sport,2004-01-07,2013-03-24,,,male,Q15713200-74530FF0-BBD5-444F-9F6D-7C1219E1FD58
Q19589575,Émilie Béatrice Epaye,Q112062133,Minister of Industry and Trade,2005-06-19,2013-03-24,,,female,Q19589575-E39BA612-481F-4E05-97A8-FD6C3B33D47E
Q22210946,Fidèle Gouandjika,Q112062144,"Minister of Posts and Telecommunications, New Technologies",2005-06-19,2013-03-24,,,male,Q22210946-F671DA7A-CA8D-4C9C-B0D9-524DCC3D343F
Q5980906,Dieudonné-Stanislas M’Bangot,Q112062150,Minister of Relations with the Parliament,2005-06-19,2013-03-24,,,male,Q5980906-0E2BF96C-B3B8-42C3-90AF-B8B357D49E55
Q6763033,Marie Solange Pagonendji-Ndakala,Q112062127,"Minister of Family, Social Affairs and National Solidarity",2004-09-02,2013-03-24,,,female,Q6763033-BC961D48-E24E-433E-8A6D-6C3D1E62ABE3
Q3277446,Nicolas Tiangaye,Q16773091,Prime Minister of the Central African Republic,2013-02-03,2014-01-10,,,male,q3277446-54373240-477a-17f6-94e8-d8f13c0d98eb
