@@,name,position,gender,item
---,Émilie Béatrice Epaye,Minister of Industry and Trade,female,Q19589575
---,Théodore Dabanga,Minister of Finance,,Q112062441
---,Sylvain Mbutingaye,Minister of Energy and Mines,,Q112062439
---,Sylvain Maliko,"Minister of Economy, Planning and International Cooperation",male,Q112062438
---,Paul Otto,Minister of Justice,,Q112062431
---,Marie Solange Pagonendji-Ndakala,"Minister of Family, Social Affairs and National Solidarity",female,Q6763033
---,Job Izima,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights",,Q112062412
---,Jacques Voti,"Minister of Civil Service, Labour and Social Security",,Q112062406
---,Fidèle Gouandjika,"Minister of Posts and Telecommunications, New Technologies",male,Q22210946
---,Dieudonné-Stanislas M’Bangot,Minister of Relations with the Parliament,male,Q5980906
---,Desire Kolingba,Minister of Youth and Sport,male,Q15713200
---,Charles Massi,"Minister of Works, Civil Aviation and Transport",male,Q1065479
---,Anne-Marie N'gouyombo,Minister of Tourism and Craft Industry Development,female,Q112062384
