@@,name,position,gender,item
->,Charles-Armel Doubane,Minister of Foreign Affairs->Ministre des Affaires étrangères et des Centrafricains de l’étranger,male,Q11855176
---,Youssoufa Yerima Mandjo,Minister of Livestock Development,male,Q112074691
---,Sylvie Baïpo-Temon,Minister of Foreign Affairs,female,Q60680031
---,Simplice Sarandji,Prime Minister of the Central African Republic,male,Q23729455
+++,Yérima Youssoufa Mandjo,Ministre de I’Elevage et de la Santé Animale,,
+++,Virginie Mbaïkoua,Ministre de l’Action Humanitaire et de la Réconciliation Nationale,,
+++,Théodore Jousso,Ministre des Transports et de l’Aviation Civile,,
+++,Thierry Kamach,Ministre de l’Environnement et du Développement Durable,,
+++,Silvère Simplice Ngarso,Ministre de la Promotion de la Jeunesse et des Sports,,
+++,Pierre Somse,Ministre de la Santé et de la Population,,
+++,Nabia Haroune,Ministre de la Modernisation de l’Administration et de l’innovation du Service Public,,
+++,Moukadas Noure,"Ministre de I’Enseignement Primaire, Secondaire, Technique et de I’Alphabétisation",,
+++,Marie-Noëlle Koyara,Ministre de la Défense Nationale et de la Reconstruction de l’Armée,,
+++,Léopold Mboli Fatrane,Ministre des Mines et de la Géologie,,
+++,Lambert Moukove-Lissane,"Ministre des Eaux, Forêts, Chasse et Pêche",,
+++,Justin Gourna-Zacko,Ministre des Postes et Télécommunication,,
+++,Jean-Louis Opalegna,Ministre de la Fonction Publique,,
+++,Jean-Jacques Sanze,Ministre de l’Enseignement Supérieur,,
+++,Jean-Christophe Nguinza,"Ministre du Travail, de I’Emploi et de la Protection Sociale",,
+++,Jean-Alexandre Dedet,Ministre chargé du Secrétariat Général du Gouvernement,,
+++,Jacob Mokpem Bionli,"Ministre des Arts, de la Culture et du Tourisme",,
+++,Honoré Feizoure,Ministre de I’Agriculture et du Développement Rural,,
+++,Henri Wanzet Linguissara,Ministre de I ‘Intérieur chargé de la Sécurité Publique,,
+++,Henri Marie Dondra,Ministre des Finances et du Budget,,
+++,Gontran Djono Ahaba,Ministre du Développement de l’Energie et des Ressources Hydrauliques,,
+++,Ginette Amara,Ministre de la Recherche Scientifique et de I’ innovation Technologique,,
+++,Gaby Francky Leffa,"Ministre de l’Urbanisme, de la Ville et de I’Habitat",,
+++,Félix Moloua,"Ministre de l’économie, du plan et de la Coopération",,
+++,Flavien Mbata,"Ministre de la Justice, des Droits de l’Homme, Garde des Sceaux",,
+++,Eugénie Lucienne Ngbondo,Ministre chargé des Relations avec les Institutions de la République,,
+++,Côme Assane,Ministre du Commerce et de l’Industrie,,
+++,Chancel Sekode Ndeugbayi,"Ministre Délégué auprès du Ministre des Affaires Etrangères et des Centrafricains de l’Etranger, chargé de la Francophonie et du Protocole d’Etat",,
+++,Bertrand Touaboy,"Ministre des Petites et Moyennes Entreprises, de I’Artisanat et du Secteur informel",,
+++,Ange Maxime Kazagui,Ministre de la Communication et des Médias,,
+++,Aline Gisèle Pana,"Ministre de la Promotion de la Femme, de la Famille et de la Protection de l’Enfant",,
+++,Ahamed Senoussi,Ministre des Travaux Publics et de I’Entretien Routier,,
