item,itemLabel,startDate,endDate,sourceDate,psid
Q3102552,Georges Darlan,1947,1952,2022-05-18,Q3102552-F753CC9A-19CF-4037-AD56-6941B8A2FCD5
Q22212092,Henri Mabille,1952,1957,2022-05-18,Q22212092-77EADF75-A50D-438C-85D0-38F7AC852222
Q3129275,Hector Rivierez,1957-06-13,1959-04,2022-05-18,Q3129275-CEBF0297-7F7E-4596-B943-BAEDDEA118B7
Q24951100,Pierre-Faustin Maleombho,1959-04-30,1960-05-09,,Q24951100-c7d0b8aa-418d-57e9-73d1-40bfb553b8c5
Q21091462,Michel Adama Tamboux,1960-05-09,1966-01-01,,Q21091462-168d690c-425e-ac1d-17fd-6693a9b9d02f
Q24951098,Maurice Methot,1987-08-01,1989-05-29,,Q24951098-ba7fad04-484b-3f63-5afc-7f27e1dcd590
Q24951102,Michel Docko,1989-05-29,1992-11-01,2022-05-18,Q24951102-92DB961F-1D53-4513-9908-B7ACC9FD8D58
Q112060228,Luc-Appolinaire Dondon-Konambaye,1999-01-01,2003-03-15,2022-05-18,Q112060228-9E9C66D8-DA1D-4348-97B9-98DEEE10F3E3
Q3277446,Nicolas Tiangaye,2003-05-29,2005-06-14,2022-05-18,Q3277446-E5F4D001-A7C6-4B7F-821E-ED354A2A4430
Q1150346,Célestin Leroy Gaombalet,2005-06-14,2013-03-26,2022-05-18,Q1150346-6B4EE418-7B7B-42C8-BCDF-A42D20CE48C5
Q15618369,Alexandre-Ferdinand N'Guendet,2013-07-18,2016-05-06,2022-05-18,Q15618369-7CF90B2A-7AB2-4498-AD92-1A9080C0BC3A
Q21965872,Abdoul Karim Meckassoua,2016-05-06,2018-10-30,2022-05-18,Q21965872-97D5628C-0A92-4CB1-8D19-9439A75D6BF1
Q58216808,Laurent Ngon Baba,2018-10-30,2021-05-05,2022-05-18,Q58216808-26D7F1D0-C0E1-48F9-927D-18FE1D93D61C
Q23729455,Simplice Sarandji,2021-05-05,,,Q23729455-FE0D0EB8-F1CF-4633-99C0-D505C03DF912
