item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q108782689,Arnaud Djoubane Abazène,Q112063574,Ministre des transports et de l’aviation civile,2015-10-29,2016-04-11,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_IV,2022-05-20,male,Q108782689-E6341CA7-01D9-431B-B9FF-357E52EEA660
Q112074289,Gaston Makouzangba,Q112062107,"Ministre du travail, de la sécurité sociale et de l’emploi",2015-10-29,2016-04-11,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_IV,2022-05-20,male,Q112074289-2104A8A4-7F6A-47E7-993F-F2E52EBF8DDB
Q112077243,Bounandélé Koumba,Q112062144,Ministre des postes des télécommunications chargé des nouvelles technologies,2015-10-29,2016-04-11,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_IV,2022-05-20,,Q112077243-9B15C076-8A59-4EDF-B0F4-E83C224971E2
Q112078171,Bruno Yapandé,Q112062110,Ministre de la Communication,2015-10-29,2016-04-11,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_IV,2022-05-20,,Q112078171-2604ED43-3123-4FC0-904C-3BEFBFB2B9D7
Q112078187,Assane Abdallah Kadré,Q112062128,Ministre des finances et du budget,2015-10-29,2016-04-11,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_IV,2022-05-20,male,Q112078187-CF1AAAD2-F9C5-49D1-BFE1-19408DDBC205
Q112078398,Gertrude Zouta,Q112062156,Ministre du commerce de l’industrie et des petites et moyennes entreprises,2015-10-29,2016-04-11,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_IV,2022-05-20,female,Q112078398-08984E62-B465-4360-A5E5-F602ED5886FA
Q112078401,Florence Limbio,Q112062118,Ministre de l’économie du plan et de la coopération internationale chargé des pôles de développement,2015-10-29,2016-04-11,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_IV,2022-05-20,female,Q112078401-8CF07F16-64F8-4301-B840-AA5F2000A008
Q112078494,Margueritte Samba Maliavo,Q112062130,Ministre de la santé et de la population,2015-10-29,2016-04-11,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_IV,2022-05-20,,Q112078494-ED7E934D-1061-4AC6-AC5A-D6C7D93D32A6
Q112078498,Mahamat Tahïb Yakoub,Q112078499,Ministre délégué à l’élevage,2015-10-29,2016-04-11,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_IV,2022-05-20,,Q112078498-EDC226BD-8BFD-4AF2-B0AB-B1831432604D
Q112078502,Joseph Agbo,Q112077097,Ministre des mines et de la géologie,2015-10-29,2016-04-11,https://fr.wikipedia.org/wiki/Gouvernement_Kamoun_IV,2022-05-20,,Q112078502-271D9F30-7F11-455E-A22E-5132EFE71F11
