position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Faustin-Archange Touadéra,Q57758,2016-03-30,male,1957-04-21,,Faustin-Archange Touadera Summit 2018 (cropped).jpg,Faustin-Archange Touadéra
Prime Minister,Henri-Marie Dondra,Q107273326,2021-06-15,male,1966-08-14,,PMDondra.jpg,Henri-Marie Dondra
Minister of Foreign Affairs,Sylvie Baïpo-Temon,Q60680031,2018-12-14,female,,,Sylvie Baïpo-Temon.jpg,Sylvie Baïpo-Temon
President of the National Assembly,Simplice Sarandji,Q23729455,2021-05-05,male,1955-04-04,,CAR Prime Minister Simplice Mathieu Sarandji in Bangui 2016.jpg,Simplice Sarandji
