name,position
Martin Ziguélé,"Premier ministre, chef du Gouvernement"
Gabriel Jean-Edouard Koyambounou,"Ministre d’État, de la Communication, Postes et Télécommunications, chargé des nouvelles Technologies, de la Culture et de la Francophonie"
Eric Sorongopé,"Ministre d'État, des Finances et du Budget"
Salomon Namkoséréna,Ministre chargé de la Promotion du monde rural
Agba Otikpo Mézodé,Ministre des Affaires étrangères
Jean-Jacques Démafouth,Ministre de la Défense nationale
Théodore Bikoo,Ministre de l’Intérieur et Sécurité publique
Marcel Météfara,Ministre de la Justice
Laurent Ngon Baba,"Ministre de la Fonction publique, de l’Emploi et de la Prévoyance sociale"
Constance Nathalie Gounébana,"Ministre des Eaux, Forêts, Chasse, Pêche, Environnement et Tourisme"
Désiré Péndémou,"Ministre de l’Équipement, Aménagement, Transports, chargé du Désenclavement"
Michel Doko,Ministre chargé des Relations avec le parlement
André Nalké Dorogo,"Ministre des Mines, de l’Énergie et de l’Hydraulique"
Timoléon M'Baikoua,Ministre de l’Éducation nationale et Enseignement supérieur
Françoise Ibrahim née N'Doma,"Ministre des Affaires sociales, Promotion des Femmes, Jeunes, chargé de la réinsertion des handicapés"
Jean Dominique N'Darata,Ministre de la Jeunesse et des Sports
Joseph Kalité,Ministre de la Santé publique et de la Population
Jacob M'baitadjim,"Ministre du Commerce et Industrie, chargé de la promotion du secteur privé"
Alexis N'Gomba,Ministre du Plan et de la coopération internationale
Robert Zana,Ministre délégué à la Sécurité publique
Lazare Dokoula,Ministre délégué aux Finances et au Budget
Clément Eregani,Ministre délégué au Plan et coopération internationale
Victor Boucher,Ministre délégué aux Affaires étrangères
Michel Doyéné,Ministre délégué au Désarmement
