item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q1065479,Charles Massi,Q112062159,"Minister of Works, Civil Aviation and Transport",2005-06-19,2013-03-24,,,male,Q1065479-675A5EA9-BE8B-4FE2-858C-A8F9DF2B4E2F
Q108292458,Anicet Parfait Mbay,Q112074250,Ministre d'État chargé du développement des transports,2011-04-22,2013-02-03,https://fr.wikipedia.org/wiki/Gouvernement_Touad%C3%A9ra_III,2022-05-19,male,Q108292458-A54AB7D0-BD18-480E-9DC0-CE78AEAAD3DB
Q112062377,Abdou Karim Meckassoua,Q112062144,"Ministre d'État chargé des postes, télécommunications et des nouvelles technologies",2011-04-22,2013-02-03,https://fr.wikipedia.org/wiki/Gouvernement_Touad%C3%A9ra_III,2022-05-19,male,Q112062377-5D6A774F-6415-4131-B64C-28B960F94B1A
Q112062384,Anne-Marie N'gouyombo,Q112062153,Minister of Tourism and Craft Industry Development,2005-06-19,2013-03-24,,,female,Q112062384-7463FFAA-5168-489C-BD90-8FE4E0333774
Q112062406,Jacques Voti,Q112062107,"Minister of Civil Service, Labour and Social Security",2003-03-31,2013-03-24,,,,Q112062406-D2CDCD9B-EBED-4BE1-9375-E90005F28C92
Q112062412,Job Izima,Q112062109,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights",2005-06-19,2013-03-24,,,,Q112062412-E44B113D-761E-439A-9BDB-44E8BF2D3AE0
Q112062431,Paul Otto,Q112062139,Minister of Justice,2005-06-19,2013-03-24,,,,Q112062431-A4C8B91A-91A1-4CFA-97B7-590EC5BC6909
Q112062438,Sylvain Maliko,Q112062118,Ministre d'État au plan et à l'économie,2005-06-19,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Touad%C3%A9ra_III,2022-05-19,male,Q112062438-616C143D-7C12-4DE8-A0E1-2EC000B26D5E
Q112062439,Sylvain Mbutingaye,Q112062121,Minister of Energy and Mines,2003-03-31,2013-03-24,,,,Q112062439-0266F264-912B-4DD5-8FD4-076BD0BB49F9
Q112062441,Théodore Dabanga,Q112062128,Minister of Finance,2005-06-19,2013-03-24,,,,Q112062441-14E8F11F-A500-4315-887E-0D4ACF9DD297
Q112065543,Jean-Michel Mandaba,Q112062147,"Ministre de la santé publique, de la population et de la lutte contre le SIDA",2011-04-22,2013-02-03,https://fr.wikipedia.org/wiki/Gouvernement_Touad%C3%A9ra_III,2022-05-19,male,Q112065543-C5BECE6F-0DCB-43DD-B450-98F078A6A3FE
Q112065563,Sylvestre Yangongo,Q112065194,"Ministre délégué à la présidence de la république chargé du désarmement, de la démobilisation, de la réinsertion des anciens combattants et de la jeunesse pionnière nationale",2011-04-22,2013-02-03,https://fr.wikipedia.org/wiki/Gouvernement_Touad%C3%A9ra_III,2022-05-19,,Q112065563-366A4D79-352C-4F67-9067-0230B1967243
Q112072853,Jean-Prosper Wodobodé,Q112074281,"Ministre de l'équipement, des travaux publics et du désenclavement",2011-04-22,2013-02-03,https://fr.wikipedia.org/wiki/Gouvernement_Touad%C3%A9ra_III,2022-05-19,male,Q112072853-03FE3C29-B033-4185-9A51-942858624BBF
Q112073780,Emmanuel Bizot,Q112062158,"Ministre des eaux, forêts, chasse et pêche",2011-04-22,2013-02-03,https://fr.wikipedia.org/wiki/Gouvernement_Touad%C3%A9ra_III,2022-05-19,male,Q112073780-B60F72DE-5809-45AE-893B-E2CCA54DE1B6
Q112074641,Djibrine Sall,Q112074938,"Ministre de l'enseignement technique, professionnel et de la formation qualifiante",2011-04-22,2013-02-03,https://fr.wikipedia.org/wiki/Gouvernement_Touad%C3%A9ra_III,2022-05-19,male,Q112074641-32F94702-AA89-4B0B-B8E5-C6C1E3DF0C74
Q112074670,François Naoueyama,Q112074671,Ministre de l'environnement et de l'écologie,2011-04-22,2013-02-03,https://fr.wikipedia.org/wiki/Gouvernement_Touad%C3%A9ra_III,2022-05-19,male,Q112074670-41264808-A47E-47E1-82D0-8CA1AEB4FD3C
