@@,item,itemlabel,startdate,enddate
+++,Q717896,Henri Maïdou,1979-09-21,1979-09-26
->,Q1685227,Jean-Pierre Lebouder,1980-11-12,1981-04-03->1981-04-04
->,Q318433,Abel Goumba,2003-03-15->2003-03-23,2003-12-11
->,Q3277446,Nicolas Tiangaye,2013-02-03->2013-01-17,2014-01-10
->,Q23729455,Simplice Sarandji,2016-04-02,2019-02-22->2019-02-27
->,Q61889435,Firmin Ngrébada,2019-02-25->2019-02-27,2021-06-15
