item,itemLabel,startDate,endDate
Q717896,Henri Maïdou,1979-09-21,1979-09-26
Q822264,Bernard Ayandho,1979-09-26,1980-08-22
Q1685227,Jean-Pierre Lebouder,1980-11-12,1981-04-04
Q1386444,Simon Narcisse Bozanga,1981-04-04,1981-09-01
Q1287557,Édouard Frank,1991-03-15,1992-12-04
Q717935,Timothée Malendoma,1992-12-04,1993-02-26
Q5379287,Enoch Derant Lakoué,1993-02-26,1993-10-25
Q1685015,Jean-Luc Mandaba,1993-10-25,1995-04-12
Q1489357,Gabriel Koyambounou,1995-04-12,1996-06-06
Q58276,Jean-Paul Ngoupandé,1996-06-06,1997-01-30
Q1930736,Michel Gbezera-Bria,1997-01-30,1999-01-04
Q546278,Anicet-Georges Dologuélé,1999-01-04,2001-04-01
Q1648403,Martin Ziguélé,2001-04-01,2003-03-15
Q318433,Abel Goumba,2003-03-23,2003-12-11
Q1150346,Célestin Gaombalet,2003-12-12,2005-06-11
Q274641,Élie Doté,2005-06-13,2008-01-18
Q57758,Faustin-Archange Touadéra,2008-01-22,2013-01-17
Q3277446,Nicolas Tiangaye,2013-01-17,2014-01-10
Q15652682,André Nzapayeké,2014-01-25,2014-08-10
Q17497078,Mahamat Kamoun,2014-08-10,2016-04-02
Q23729455,Simplice Sarandji,2016-04-02,2019-02-27
Q61889435,Firmin Ngrébada,2019-02-27,2021-06-15
Q107273326,Henri-Marie Dondra,2021-06-15,2022-02-07
Q88310768,Félix Moloua,2022-02-07,
