@@,name,position,gender,item
->,Sylvain Maliko,"Minister of Economy, Planning and International Cooperation->Ministre d'État au plan et à l'économie",male,Q112062438
---,Émilie Béatrice Epaye,Minister of Industry and Trade,female,Q19589575
---,Théodore Dabanga,Minister of Finance,,Q112062441
---,Sylvain Mbutingaye,Minister of Energy and Mines,,Q112062439
---,Paul Otto,Minister of Justice,,Q112062431
---,Marie Solange Pagonendji-Ndakala,"Minister of Family, Social Affairs and National Solidarity",female,Q6763033
---,Job Izima,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights",,Q112062412
---,Jacques Voti,"Minister of Civil Service, Labour and Social Security",,Q112062406
---,Fidèle Gounadjika,"Minister of Posts and Telecommunications, New Technologies",male,Q112062398
---,Faustin-Archange Touadéra,Prime Minister of the Central African Republic,male,Q57758
---,Dieudonné-Stanislas M’Bangot,Minister of Relations with the Parliament,male,Q5980906
---,Desire Kolingba,Minister of Youth and Sport,male,Q15713200
---,Charles Massi,"Minister of Works, Civil Aviation and Transport",male,Q1065479
---,Anne-Marie N'gouyombo,Minister of Tourism and Craft Industry Development,female,Q112062384
+++,Youssoufa Yérima Mandjo,Ministre délégué auprès du ministre de l'agriculture et du développement rural chargé de l'élevage et de la santé animale,male,
+++,Théodore Jousso,Ministre délégué à la présidence de la république chargé de l'aviation civile et du transport aérien,male,
+++,Sylvie Annick Mazoungou,Ministre du développement du tourisme et de l'artisanat,female,
+++,Sylvestre Yangongo,"Ministre délégué à la présidence de la république chargé du désarmement, de la démobilisation, de la réinsertion des anciens combattants et de la jeunesse pionnière nationale",,
+++,Pétro-Koni Zézé née Marguerite Zarambaud,"Ministre des affaires sociales, de la solidarité nationale et de la promotion du genre",female,
+++,Pascal Koyaméné,Ministre de l'urbanisme et de la reconstruction des édifices publics,male,
+++,Obed Namsio,Ministre délégué à la présidence de la république chargé des Mines,male,
+++,Noël Ramadan,"Ministre de la fonction publique, du travail et de la prévoyance sociale",male,
+++,Michel Koyt,Ministre chargé du secrétariat général du gouvernement et des relations avec les institutions,male,
+++,Marlyn Mouliom Roosalem,Ministre du commerce et de l'industrie,female,
+++,Léopold Mboli Fatran,Ministre de l'énergie et de l'hydraulique,male,
+++,Lieutenant-colonel Sylvain Ndoutingai,Ministre d'État aux finances et au budget,,
+++,Josué Binoua,Ministre de l'administration du territoire et de la décentralisation,,
+++,Jean-Serge Bokassa,"Ministre de la jeunesse, des sports, des arts et de la culture",male,
+++,Jean-Prosper Wodobodé,"Ministre de l'équipement, des travaux publics et du désenclavement",male,
+++,Jean-Michel Mandaba,"Ministre de la santé publique, de la population et de la lutte contre le SIDA",male,
+++,Jean-Francis Bozizé,"Ministre délégué à la présidence de la république chargé de la défense nationale, des anciens combattants, des victimes de guerre et de la restructuration de l'armée",,
+++,Jean Willybiro-Sako,Ministre d'État à l'enseignement supérieur et à la recherche scientifique,,
+++,Gontran Djono-Djidou-Ahabo,Ministre de l'habitat et du logement,male,
+++,Gisèle Annie Nam,"Ministre de l'énseignement primaire, secondaire et de l'alphabétisation",female,
+++,François Naoueyama,Ministre de l'environnement et de l'écologie,male,
+++,Firmin Findiro,"Ministre de la justice et de la moralisation, Garde des sceaux",male,
+++,Fidèle Gouandjika,Ministre de l'agriculture et du développement rural,male,
+++,Faustin Touadéra,Premier ministre,,
+++,Emmanuel Bizot,"Ministre des eaux, forêts, chasse et pêche",male,
+++,Dorothée Aimée Malenzapa,"Ministre de la coopération internationale, de l'intégration régionale et de la francophonie",female,
+++,Djibrine Sall,"Ministre de l'enseignement technique, professionnel et de la formation qualifiante",male,
+++,David Banzoukou,Ministre délégué à la présidence de la république chargé des pôles de développement,male,
+++,Claude Richard Gouandja,"Ministre de la sécurité publique, de l'émigration-immigration et de l'ordre public",male,
+++,Antoine Gambi,Ministre des affaires étrangères et des centrafricains de l'étranger,,
+++,Anicet Parfait Mbay,Ministre d'État chargé du développement des transports,,
+++,Alfred Tainga Poloko,"Ministre de la communication, de la culture démocratique et civique",male,
+++,Albertine Agoundoukoua Mbissa,"Ministre de la promotion des petites et moyennes entreprises, du secteur informel et du guichet unique",female,
+++,Abdou Karim Meckassoua,"Ministre d'État chargé des postes, télécommunications et des nouvelles technologies",male,
