item,name,positionItem,position,startDate,endDate,source,sourceDate,psid
Q1065479,Charles Massi,Q112062159,Ministre d'État au Développement rural,2005-06-19,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_III,2022-05-19,Q1065479-675A5EA9-BE8B-4FE2-858C-A8F9DF2B4E2F
Q108292457,Dieudonné Kombo Yaya,Q18204366,Minister of Foreign Affairs,2008,2009,,,Q108292457-387BDF66-3943-453A-901A-58BF454294CD
Q112062384,Anne-Marie N'gouyombo,Q112062153,Minister of Tourism and Craft Industry Development,2005-06-19,2013-03-24,,,Q112062384-7463FFAA-5168-489C-BD90-8FE4E0333774
Q112062406,Jacques Boti,Q112062107,Ministre de la Fonction Publique,2003-03-31,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_III,2022-05-19,Q112062406-D2CDCD9B-EBED-4BE1-9375-E90005F28C92
Q112062412,Job Izima,Q112062109,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights",2005-06-19,2013-03-24,,,Q112062412-E44B113D-761E-439A-9BDB-44E8BF2D3AE0
Q112062425,Lieutenant-colonel Michel Sallé,Q112062134,Ministre de l'Intérieur et de la Sécurité Publique,2006-09-02,2008-01-28,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_III,2022-05-19,Q112062425-343C71C5-1213-4EF8-8A2A-09D01560A16F
Q112062431,Paul Otto,Q112062139,Ministre de la Justice,2005-06-19,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_III,2022-05-19,Q112062431-A4C8B91A-91A1-4CFA-97B7-590EC5BC6909
Q112062438,Sylvain Maliko,Q112062118,"Ministre de l'Économie, du Plan et de la Coopération Internationale",2005-06-19,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_III,2022-05-19,Q112062438-616C143D-7C12-4DE8-A0E1-2EC000B26D5E
Q112062439,Commandant Sylvain N'doutingaï,Q112062121,Ministre des Mines et de l'Énergie,2003-03-31,2013-03-24,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_III,2022-05-19,Q112062439-0266F264-912B-4DD5-8FD4-076BD0BB49F9
Q112062441,Théodore Dabanga,Q112062128,Minister of Finance,2005-06-19,2013-03-24,,,Q112062441-14E8F11F-A500-4315-887E-0D4ACF9DD297
Q112062442,Timoléon Mbaïkoua,Q112062149,"Ministre de la Reconstruction des Édifices Publics, de l'Urbanisme et du Logement",2006-09-02,2008-01-28,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_III,2022-05-19,Q112062442-44B912DB-5985-43CB-A8FD-17BA1A6672D1
Q112072848,Aurélien-Simplice Zingas,Q112072402,"Ministre délégué auprès du Premier ministre, porte-parole du gouvernement",2006-09-02,2008-01-28,https://fr.wikipedia.org/wiki/Gouvernement_Dot%C3%A9_III,2022-05-19,Q112072848-BC774903-8366-4B12-84B3-24D95CD5230A
