item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q107273326,Henri-Marie Dondra,Q112062128,Ministre des Finances et du Budget,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q107273326-F9BEA84E-C63C-48FC-8EE2-90D1597D1542
Q107369201,Ange-Maxime Kazagui,Q112062110,"Ministre de la Communication et des Médias, porte-parole du gouvernement",2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q107369201-4266BD36-F952-48EE-9CC9-8BC30B0CA5F5
Q108782689,Arnauld Djoubaye Abazène,Q112063574,Ministre des Transports et de l’Aviation civile,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q108782689-A9062B99-FA7D-49EE-BC5A-BA306E261A36
Q112034649,Pierre Somsé,Q112062130,Ministre de la Santé et de la Population,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112034649-6EB1C1E5-106A-4389-B0E5-166F21A1B30F
Q112079588,Virginie Mbaïkoua,Q112079941,Ministre de l’Action humanitaire et de la Réconciliation nationale,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,female,Q112079588-20B0D250-69F6-48AA-88B7-D654EEF2BA84
Q112079593,Moukadas Nouré,Q112062120,"Ministre de l’Enseignement primaire, secondaire, technique et de l’Alphabétisation",2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112079593-F7FCBF6C-7FE4-473A-A21A-979BA6874292
Q112079595,Léopold Mboli Fatrane,Q112062121,Ministre des Mines et de la Géologie,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112079595-637B95D1-A987-469B-BF73-C02265BA5A20
Q112079601,Jean-Christophe Nguinza,Q112080013,"Ministre du Travail, de l’Emploi et de la Protection sociale et de la Formation professionnelle",2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112079601-4C2AFF1E-6AD4-43E9-8B3E-84057C4D8D1E
Q112079604,Honoré Feïzouré,Q112072739,Ministre de l’Agriculture et du Développement rural,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112079604-6137F162-9F6F-4FBE-8530-92F3DB26345F
Q112079616,Flavien Mbata,Q112062139,"Ministre de la Justice, des Droits de l’Homme, Garde des Sceaux",2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112079616-4C7B1719-DCC3-46D7-99B6-A059786CA49F
Q112079976,Thierry Kamach,Q112079977,Ministre de l’Environnement et du Développement durable,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112079976-BFC61A87-B69A-4A39-BAEB-9C4BFC2844CA
Q112079998,Justin Gourna Zacko,Q112062143,Ministre des Postes et Télécommunications,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112079998-50009760-BC41-4263-9AC2-771C97F51D61
Q112080010,Jean-Jacques Sanzé,Q112062131,Ministre de l’Enseignement supérieur,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112080010-31088C1E-41DB-4D04-8453-90001192A842
Q112080021,Henri Wanzet Linguissara,Q112062136,Ministre de l’Intérieur chargé de la Sécurité publique,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112080021-864D56D3-EF0E-47FE-A54A-2FA149B24B54
Q112080061,Ginette Amara,Q112080062,Ministre de la Recherche scientifique et de l’Innovation technologique,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,female,Q112080061-6B98D589-762A-4B56-9308-553605E22A3E
Q112080080,Eugénie-Lucienne Ngbondo,Q112080081,Ministre chargé des Relations avec les Institutions de la République,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,female,Q112080080-2B4D912B-3C1C-4CB1-B7AB-4D6AECFDA5AC
Q112080084,Chancel Sékodé Ndeugbayi,Q112065559,"Ministre délégué auprès du Ministre des Affaires étrangères et des Centrafricains de l’étranger, chargé de la Francophonie et du Protocole d’Etat",2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112080084-B3CBA021-E9F3-483E-95C3-FF69849BA328
Q112080089,Aline-Gisèle Pana,Q112080090,"Ministre de la Promotion de la Femme, de la Famille et de la Protection de l’Enfant",2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,female,Q112080089-21187B08-20AC-4621-8A0C-06D2A0819160
Q112080252,Souleymane Daouda,Q112062141,Ministre de l’Elevage et de la Santé animale,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112080252-C409BB41-76A8-4807-8D5B-0CF6BEEABC0E
Q112080253,Régis Lionel Dounda,Q112062160,Ministre de la Jeunesse et des Sports,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112080253-9D58BA11-7246-4824-BCB2-1396FF94699A
Q112080257,Moustapha Moctar,Q112080095,Ministre des Travaux publics et de l’Entretien routier,2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,male,Q112080257-B9297A0F-31BB-4947-A5E2-8D197EE75411
Q112080259,Mireille Sanghami,Q112079696,"Ministre des Petites et Moyennes Entreprises, de l’Artisanat et du Secteur informel",2019-02-22,2021-06-10,https://www.acap.cf/La-composition-du-nouveau-gouvernement-rendue-publique_a9332.html,2022-05-20,female,Q112080259-0ADED4FE-8D9D-4A3A-BE62-D876A57CEA10
