@@,name,position,gender,item
---,Sylvie Baïpo-Temon,Minister of Foreign Affairs,female,Q60680031
---,Firmin Ngrébada,Prime Minister of the Central African Republic,male,Q61889435
+++,Virginie Mbaïkoua,Ministre de l’Action humanitaire et de la Réconciliation nationale,female,
+++,Thierry Kamach,Ministre de l’Environnement et du Développement durable,male,
+++,Sylvie Baïpo Témon,Ministre des Affaires étrangères et des Centrafricains de l’étranger,female,
+++,Souleymane Daouda,Ministre de l’Elevage et de la Santé animale,male,
+++,Régis Lionel Dounda,Ministre de la Jeunesse et des Sports,male,
+++,Pierre Somsé,Ministre de la Santé et de la Population,male,
+++,Moustapha Moctar,Ministre des Travaux publics et de l’Entretien routier,male,
+++,Moukadas Nouré,"Ministre de l’Enseignement primaire, secondaire, technique et de l’Alphabétisation",male,
+++,Mireille Sanghami.,"Ministre des Petites et Moyennes Entreprises, de l’Artisanat et du Secteur informel",female,
+++,Maxime Mokom,Ministre chargé du Désarmement Démobilisation Réinsertion et Rapatriement (DDRR),male,
+++,Maxime Balalou,Ministre chargé du Secrétariat général du Gouvernement,male,
+++,Marie-Noëlle Koyara,Ministre de la Défense nationale et de la Reconstruction de l’Armée,female,
+++,Léopold Mboli Fatrane,Ministre des Mines et de la Géologie,male,
+++,Justin Gourna Zacko,Ministre des Postes et Télécommunications,male,
+++,Jean-Jacques Sanzé,Ministre de l’Enseignement supérieur,male,
+++,Jean-Christophe Nguinza,"Ministre du Travail, de l’Emploi et de la Protection sociale et de la Formation professionnelle",male,
+++,Hugues Tchemeuni,Ministre du Commerce et de l’Industrie,male,
+++,Honoré Feïzouré,Ministre de l’Agriculture et du Développement rural,male,
+++,Henri-Marie Dondra,Ministre des Finances et du Budget,male,
+++,Henri Wanzet Linguissara,Ministre de l’Intérieur chargé de la Sécurité publique,male,
+++,Guismala Amza,Ministre du Développement de l’Energie et des Ressources hydrauliques,male,
+++,Ginette Amara,Ministre de la Recherche scientifique et de l’Innovation technologique,female,
+++,Gina Lawson Roosalem,"Ministre de l’Urbanisme, de la Ville et de l’Habitat",female,
+++,Félix Moloua,"Ministre de l’Economie, du Plan et de la Coopération",male,
+++,Flavien Mbata,"Ministre de la Justice, des Droits de l’Homme, Garde des Sceaux",male,
+++,Eugénie-Lucienne Ngbondo,Ministre chargé des Relations avec les Institutions de la République,female,
+++,Dieudonné Ndomaté,"Ministre des Arts, de la Culture et du Tourisme",male,
+++,Chancel Sékodé Ndeugbayi,"Ministre délégué auprès du Ministre des Affaires étrangères et des Centrafricains de l’étranger, chargé de la Francophonie et du Protocole d’Etat",male,
+++,Bienvenu Sélesson,Ministre délégué au Désarmement Démobilisation Réinsertion et Rapatriement,male,
+++,Bertin Béa,Ministre de la Fonction publique,male,
+++,Augustin Yangana-Yahoté,"Ministre de l’Administration du Territoire, de la Décentralisation et du Développement local",male,
+++,Arnauld Djoubaye Abazène,Ministre des Transports et de l’Aviation civile,male,
+++,Ange-Maxime Kazagui,"Ministre de la Communication et des Médias, porte-parole du gouvernement",male,
+++,Amit Idriss.,"Ministre des Eaux, Forêts, Chasse et Pêche",male,
+++,Aline-Gisèle Pana,"Ministre de la Promotion de la Femme, de la Famille et de la Protection de l’Enfant",female,
+++,Adama Chaïbou,Ministre de la Modernisation de l’Administration et de l’Innovation du Service public,male,
