item,itemLabel,position,positionLabel,start,end,psid
Q1065479,Charles Massi,Q112062159,"Minister of Works, Civil Aviation and Transport",2005-06-19,2013-03-24,Q1065479-675A5EA9-BE8B-4FE2-858C-A8F9DF2B4E2F
Q108292457,Dieudonné Kombo Yaya,Q18204366,Minister of Foreign Affairs,2008-01-01,2009-01-01,Q108292457-387BDF66-3943-453A-901A-58BF454294CD
Q108292458,Parfait Anicet Mbay,Q18204366,Minister of Foreign Affairs,2013-01-01,2013-01-01,Q108292458-C117E836-A115-47DF-AF3B-701EBCD5782F
Q108292458,Parfait Mbaye,Q112062113,"Minister of Communications, National Reconciliation and Democratic and Civic Culture",2003-03-31,2004-09-02,Q108292458-EC168A03-B30B-4308-B136-C41492B348CE
Q108292459,Toussaint Kongo-Doudou,Q18204366,Minister of Foreign Affairs,2014-01-01,2015-01-01,Q108292459-CADD5A7A-B797-47CC-8BF3-B4C7D2F43DF4
Q112062377,Abdou Karim Meckassoua,Q112062129,"Minister of Foreign Affairs, Regional Integration and Francophone Affairs",2003-03-31,2003-12-15,Q112062377-A252E633-5CF4-4C16-A00D-92DECE420466
Q112062378,Abraham Gotobulu,Q112062132,Minister of Housing and Town Planning,2003-03-31,2005-06-19,Q112062378-8CC6344E-CD3D-48E5-896A-49D127B49C7B
Q112062379,Aimé Amoudou,Q112062156,"Minister of Trade, Industry and Private Sector Promotion",2003-12-15,2004-09-02,Q112062379-0D92A72F-2824-4A0F-B5B2-CF17169EBF43
Q112062380,Alexis Gomba,Q112062118,"Minister of Economy, Planning and Cooperation",2001-04-06,2003-03-15,Q112062380-D75FFF39-1813-4FFB-9346-7A5EFFB7AB5D
Q112062381,Andre Latou,Q112062121,Minister of Energy and Mines,1999-11-02,2001-04-05,Q112062381-7C711118-85EC-41B2-BD58-9FD7A2444C4E
Q112062382,Andre Nalke-Dorogo,Q112062154,Minister of Town Planning and Public Buildings,2000-04-17,2001-04-05,Q112062382-7BC9C4AD-87A6-4AA6-A375-DD033AB3C86E
Q112062383,Andre Toby Kotazo,Q112062148,"Minister of Public Works, Transport, Marginalized Regions and Settlement",2001-08-31,2003-03-15,Q112062383-525E746E-E49A-4DC4-96B0-9D390107744E
Q112062384,Anne-Marie N'gouyombo,Q112062153,Minister of Tourism and Craft Industry Development,2005-06-19,2013-03-24,Q112062384-7463FFAA-5168-489C-BD90-8FE4E0333774
Q112062385,Antoine Grothe,Q112062139,Minister of Justice,2000-04-17,2001-04-05,Q112062385-A933ECE6-6FD2-47CC-85E1-7312AC4D5FB9
Q112062386,Aristide Sokambi,Q112062125,"Minister of Equipment, Territorial Development and Town Planning",1999-11-02,2000-04-16,Q112062386-75D9C65F-440C-46F1-8C99-D3B9DB25A4FA
Q112062387,Bernard Gonda,Q112062149,"Minister of Reconstruction of Public Buildings, Urban Development and Housing",2005-06-19,2006-01-31,Q112062387-BFFBF07E-F7E0-4511-8810-F096C4CE660C
Q112062388,Bernard Yoro,Q112062160,Minister of Youth and Sport,1999-11-02,2001-04-05,Q112062388-535C30A1-DF7B-4FA1-BBDB-DEA98A554BF7
Q112062389,Bevaroua Lala,Q112062142,"Minister of National Education, Literacy, Higher Education and Research",2003-03-31,2003-12-15,Q112062389-15D644EF-C0BA-4A57-8A6D-B4318E69BEEC
Q112062390,Bruno Dacko,Q112062153,Minister of Tourism and Craft Industry Development,2003-03-31,2005-06-19,Q112062390-3B665A0F-8C08-4859-871F-ED7CFB7FBD03
