item,name,positionItem,position,startDate,endDate,source,sourceDate,gender,psid
Q108292459,Toussaint Kongo-Doudou,Q18204366,Minister of Foreign Affairs,2014,2015,,,,Q108292459-CADD5A7A-B797-47CC-8BF3-B4C7D2F43DF4
Q108782689,Arnaud Djoubaye Abazene,Q112063574,Ministre des transports et de l’aviation civile,2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,male,Q108782689-0E0AC0E2-F6C7-4EA8-8FCD-FB55A2EE2115
Q112062386,Aristide Sokambi,Q112062151,Ministre de l’administration du territoire de la décentralisation et de la régionalisation,2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112062386-1F41A7D2-9F33-4FFD-B41D-C24C1396857E
Q112066080,Marcel Loudegue,Q112062142,"Ministre de l’enseignement fondamental, secondaire et technique",2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112066080-582C2EDC-24EC-4866-BCE5-5107D25EEA64
Q112074289,Gaston Mackouzangba,Q112062107,Ministre chargé de la fonction publique et de la réforme administrative,2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,male,Q112074289-8A6F957F-ADA5-4CE6-8293-4D3F331A9AB7
Q112077048,Christophe Bremaïdou,Q112062128,Ministre des finances et du budget,2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112077048-8942215A-F46D-4653-A746-80D31759E2E6
Q112077112,Paul Doko,Q112074671,"Ministre de l’environnement, de l’écologie et du développement durable",2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112077112-3A787290-F260-4E7B-8B09-374363DA0B46
Q112077231,Jérémie Tchimanguere,Q112074989,Ministre de l'habitat et du logement,2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112077231-0CB4EE8E-3B8C-4BD1-975F-4DBB4A747728
Q112077234,Abdoulaye Hissene,Q112062160,Ministre chargé de la jeunesse et des sports,2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112077234-FE316AA1-CEE3-4A88-9A95-9C0B2EC1B95F
Q112077235,Georges Bozanga,Q112078146,Ministre chargé des pôles de développement,2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112077235-7EF05B0E-C2F1-4B81-A135-BD1684A04D40
Q112077240,Claude Lenga,Q112078158,Ministre des droits de l’Homme chargé de la coordination de l’action humanitaire,2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112077240-AB9B2640-4DE2-4EF4-AFF7-7C4752165A8C
Q112077243,Bounandele Koumba,Q112062107,"Ministre chargé du travail, de l’emploi, de la formation professionnelle et de la Sécurité sociale",2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112077243-024C9100-D2E9-42B3-82DA-BF64DF856FA6
Q112077245,Arsène Sende,Q112062139,"Ministre de la justice, garde des Sceaux chargé de la réforme judiciaire",2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112077245-DB672722-B8AF-44AB-9699-DF4D464DF482
Q112077834,Zéphirin Mamadou,Q112077836,"Ministre chargé du programme Désarmement, Démobilisation et Réinsertion (DDR)",2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112077834-80E6EBDE-A846-4988-889C-3B656C7D3292
Q112077860,Rizigala Ramadane,Q112077210,"Ministre de l’urbanisme, du cadastre et de la réforme Foncière",2013-06-12,2014-01-27,https://fr.wikipedia.org/wiki/Gouvernement_Tiangaye_III,2022-05-20,,Q112077860-1C86845F-A617-47B9-84FE-9D6EF9F86350
