item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112116407,2:Evodie Nakoumbou,,,,,2011-03,2013-03-26,,Q112116407-6440BC32-FB2F-4259-83E4-F704D769BC80
Q112116387,Abdoul Nimaga,,,,,2011-03,2013-03-26,,Q112116387-9691CA56-AE10-4B6E-B748-2B0915C73E37
Q112116398,Adam Oumar,,,,,2011-03,2013-03-26,,Q112116398-976F9446-3A8D-49E9-9C92-F1889E7948F9
Q112116399,Alain Defarandji,,,,,2011-03,2013-03-26,,Q112116399-17B6552F-58DC-4ACC-90A5-30D512278F6F
Q112116415,Ali Kassala,,,,,2011-03,2013-03-26,,Q112116415-C347C778-DECE-43A6-92AA-CC2A8FF39266
Q112116395,Ambroise Azoukaterne,,,,,2011-03,2013-03-26,,Q112116395-757A81A0-093D-486E-AC73-8F7989B48E8A
Q105946533,Ambroise Zawa,,,,,2011-03,2013-03-26,male,Q105946533-740E6540-BBF3-47E6-A344-5A0E329BA3B9
Q106103476,Anatole Koué,,,Q28041183,Q28041183,2011,2016,male,Q106103476-9faca1bc-4708-8d65-0436-6955e72be35c
Q112116405,Andjigbo Ndjanga,,,,,2011-03,2013-03-26,,Q112116405-FB6BA903-7F32-48E2-85BA-89010A7CBE85
Q112116426,Antoine Guedehi,,,,,2011-03,2013-03-26,,Q112116426-E3FB70F2-DD5A-4100-BAEB-986E5B3E64BC
Q112084626,Aristide Goundissa,,,,,2011-03,2013-03-26,,Q112084626-B3192404-F862-4461-AA5A-20FDB63A1AFB
Q112116392,Augustin Ndoukoulouba,,,,,2011-03,2013-03-26,,Q112116392-9EF6CCCA-8C47-4DD6-A612-999B17BEAE89
Q112116420,Babpetel,,,,,2011-03,2013-03-26,,Q112116420-C3BFFE87-562D-449B-94FD-E9E9CFE080B6
Q112116410,Bertin Foukpio,,,,,2011-03,2013-03-26,,Q112116410-49BC96C0-1927-4426-AE2D-9F5D4800FD57
Q112116417,Boniface Sambo,,,,,2011-03,2013-03-26,,Q112116417-DA87823F-5D37-41C5-99F3-DDD3B04DEF9B
Q112116418,Béatrice Tépé,,,,,2011-03,2013-03-26,,Q112116418-163E271F-C192-4A12-BEE5-243555AF5541
Q112116411,Bénick Kette,,,,,2011-03,2013-03-26,,Q112116411-6A7C7935-0CA4-4BBE-898E-0B7AC56B2CF9
Q112084619,Clément Ndombé,,,,,2011-03,2013-03-26,,Q112084619-0FCB22FC-827D-4152-905B-73592D6395E5
Q112062392,Daniel Emery Dédé,,,,,2011-03,2013-03-26,,Q112062392-60C43FC4-9E1F-4FE1-A501-A4653072917F
Q112116409,Djarra Alima,,,,,2011-03,2013-03-26,,Q112116409-F0B60227-08FC-4D9A-B1A5-99B7A0A29DAC
Q112116427,Edgard Mbaïkoua,,,,,2011-03,2013-03-26,,Q112116427-0369C5E5-590D-4B79-8A48-0FD446988DEA
Q112084717,Ernest Mizedio,,,,,2011-03,2013-03-26,,Q112084717-4477DDCD-3700-46C6-BEC1-72CD509965F7
Q112116413,Fouga,,,,,2011-03,2013-03-26,,Q112116413-C9D3D38C-4B91-4DB3-917C-98F5CC397B9E
Q112116385,Francine Lakoue,,,,,2011-03,2013-03-26,,Q112116385-A9954904-6516-48DB-AFDA-6243DE3CE617
Q112116393,Gabriel Tcheteu,,,,,2011-03,2013-03-26,,Q112116393-90007003-F7FC-4E12-8B7F-E17B6D3B01D0
Q112116412,Gari Mamadou,,,,,2011-03,2013-03-26,,Q112116412-EC3D1C1E-696E-463D-BDA8-6CA60F77EBD5
Q112116419,Gom-Aïam,,,,,2011-03,2013-03-26,,Q112116419-B8E29DB2-E51F-447E-B717-146490F20141
Q112116388,Hamza Ouakili,,,,,2011-03,2013-03-26,,Q112116388-5AE5A432-C566-4CE3-883B-BF09B619C8A0
Q112116394,Idriss Maloum,,,,,2011-03,2013-03-26,,Q112116394-690E0E86-4937-49FB-B440-B33D7047621A
Q112116424,Isaïe Gbane,,,,,2011-03,2013-03-26,,Q112116424-0D2F0A62-FFC8-4587-B2F8-B1F058E729B3
Q112116428,Israël Bengba,,,,,2011-03,2013-03-26,,Q112116428-7AA99CD9-F825-43C2-8EDD-3586DD7E1DC6
Q112116401,Jean Doumati,,,,,2011-03,2013-03-26,,Q112116401-218023E4-62EB-4C36-84F4-AB2F7385191D
Q112080008,Jean Louis Opalegna,,,,,2011-03,2013-03-26,,Q112080008-ABC09BC8-8055-4E27-9760-23B98388C984
Q112116414,Jean Mokolé,,,,,2011-03,2013-03-26,,Q112116414-54E53F63-A653-44CB-A1F4-DF15C3567EFD
Q112115220,Joseph Désiré Gouvéli,,,,,2011-03,2013-03-26,,Q112115220-907BBF97-EF82-49DA-8ACE-275778AC2ADA
Q15844911,Joseph Kalité,,,,,2011-03,2013-03-26,male,Q15844911-0C52A7B6-2FD0-47E2-9414-8353984A487A
Q112116396,Joseph Mouguia,,,,,2011-03,2013-03-26,,Q112116396-4DA5501A-D127-435E-813C-E298653D3ABA
Q112072410,Jules Bernard Ouandé,,,,,2011-03,2013-03-26,,Q112072410-7FEBE8DD-B93D-4E4E-9F59-E1489D0D4CF4
Q112116402,Justine Abatchou,,,,,2011-03,2013-03-26,,Q112116402-A961AF27-7BBD-4D16-94AA-551AA050589A
Q112116425,Jérôme Lasse,,,,,2011-03,2013-03-26,,Q112116425-C65153A0-6CC8-421C-A2E8-1402F2F7A0B6
Q58216808,Laurent Ngon Baba,,,,,2011-03,2013-03-26,male,Q58216808-1C45F776-33D0-4A4E-871F-25D38640538C
Q112116429,Léon Amaron,,,,,2011-03,2013-03-26,,Q112116429-284D10FC-9604-46D2-B0EE-0F53379AF73A
Q112116390,Mallo Ning Wong,,,,,2011-03,2013-03-26,,Q112116390-42BD0912-27CB-4ACA-8923-DCE61897B28A
Q112083235,Marcel Djimassé,,,,,2011-03,2013-03-26,,Q112083235-5A39C476-1CA3-4246-A6B8-A4F83DBD472A
