areaLabel,name,partyLabel
3ème arrondissement,Anatole Koué,RDC
5ème arrondissement 1,Serge Hyppolite Mayeur,KNK
5ème arrondissement 2,Francine Lakoue,PSD
7ème arrondissement,Thierry Maleyombo,KNK
8ème arrondissement,Jules Bernard Ouandé,Ind
Bimbo 1,Rufin Brice Molomndon,MDD
Bimbo 3,Abdoul Nimaga,Ind
Bossembélé,Séraphin Wabem,KNK
Yaloké,Hamza Ouakili,KNK
Boca,Nendje Dogo,KNK
Batangafo,Mallo Ning Wong,KNK
Sibut,Ouinia André,MDIPS
Dekoua,Michelle Sanzé,Ind
Mala,Augustin Ndoukoulouba,KNK
Ndjoukou,Gabriel Tcheteu,KNK
Kaga-Bandoro 1,Simon Dangavo,KNK
Bambari 1,Solange Pagonendji Ndakala,KNK
Bambari 3,Idriss Maloum,PAD
Grimari,Ambroise Azoukaterne,KNK
Kouango 1,Marcel Djimassé,Ind
Kouango 2,Joseph Mouguia,KNK
Ippy,Yvonne Ndjapou,KNK
Bria 1,Adam Oumar,PAD
Bria 2,Alain Defarandji,KNK
Ouadda,Jean Doumati,KNK
Yalinga,Justine Abatchou,PNCN
Birao 1,Simon Pierre Goumba,KNK
Birao 2,Joseph Kalité,KNK
Mobaye,Raphaël Kangandi,MESAN
Alindao,Moïse Kotaye,Ind
Zangba,Andjigbo Ndjanga,KNK
Satéma,Salomo Kotro Mbomba,KNK
Bangassou,2:Evodie Nakoumbou,Ind
Ouango,Olivier Niker de Toki,Ind
Bakouma,Djarra Alima,KNK
Obo,Ernest Mizedio,Ind
Zémio,Bertin Foukpio,KNK
Djéma,Bénick Kette,KNK
Mbaïki 1,Gari Mamadou,KNK
Mbaîki 2,Fouga,KNK
Mbaîki 3,Jean Mokolé,KNK
Mogoumba,Jean Louis Opalegna,KNK
Boda,Ali Kassala,KNK
Berberati 2,Clément Ndombé,Ind
Gaboumla,Pierre Gaba-Mano,KNK
Carnot 2,Joseph Désiré Gouvéli,KNK
Dédé Moukouba,Daniel Emery Dédé,KNK
Gadzi,Boniface Sambo,Ind
Bouar,Béatrice Tépé,Ind
Baoro,Gom-Aïam,KNK
Baboua,Laurent Ngon Baba,PAD
Nola 1,Babpetel,KNK
Nola 2,Pampanli Gomina,UNADER
Bambio,Aristide Goundissa,Ind
Bayanga,René Apondjo,KNK
Bozoum,Ambroise Zawa,MDD
Bocaranga 1,Isaïe Gbane,KNK
Bocaranga 2,Jérôme Lasse,Ind
Koui,Antoine Guedehi,KNK
Paoua 1,Edgard Mbaïkoua,Ind
Paoua 2,Timoléon Mbaïkoua,Ind
Paoua 3,Romain Penendji,KNK
Ngaoundaï 1,Israël Bengba,Ind
Ngaoundaï 2,Léon Amaron,KNK
Nanga Boguila,Maurice Saragba,Ind
